Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,579,Norway,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,47524,,,0
HS,2018,201812,December 2018,6,1,1,Imports,579,Norway,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,199,,40947,,,0
HS,2018,201812,December 2018,6,1,1,Imports,579,Norway,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,39122,,,0
HS,2018,201812,December 2018,6,1,1,Imports,579,Norway,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,55097,,,0
HS,2018,201812,December 2018,6,1,1,Imports,579,Norway,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,193885,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4229,,3186291,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,606,,1024175,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,505,,94596,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,6287,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,262,,313664,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,49403,,,0
HS,2018,201806,June 2018,6,1,1,Imports,579,Norway,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2600,,1686709,,,0
HS,2018,201811,November 2018,6,1,1,Imports,579,Norway,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,3886,,,0
HS,2018,201811,November 2018,6,1,1,Imports,579,Norway,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,327,,1061292,,,0
HS,2018,201811,November 2018,6,1,1,Imports,579,Norway,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,912,,296162,,,0
HS,2018,201811,November 2018,6,1,1,Imports,579,Norway,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,5316,,,0
HS,2018,201811,November 2018,6,1,1,Imports,579,Norway,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5374,,3187164,,,0
