Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201805,May 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,65,,,0
HS,2018,201807,July 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,10,,,0
HS,2018,201810,October 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,21,,,0
HS,2018,201811,November 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,34,,,0
HS,2018,201801,January 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,60,,,0
HS,2018,201803,March 2018,6,1,1,Imports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5653,,2097472,,,0
HS,2018,201812,December 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16,,,0
HS,2018,201806,June 2018,6,1,1,Imports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3088,,2672520,,,0
HS,2018,201810,October 2018,6,1,1,Imports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1723,,1315415,,,0
HS,2018,201802,February 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,117,,,0
HS,2018,201804,April 2018,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,62,,,0
HS,2018,201808,August 2018,6,1,1,Imports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2829,,2617079,,,0
