Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,586,Pakistan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4194,,496158,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,374,,41644,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,370,,40791,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10680,,1253952,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,735,,71781,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,143141,,15784278,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5185,,617701,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10400,,999327,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,465,,52470,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3230,,358824,,,0
HS,2018,201811,November 2018,6,1,1,Imports,586,Pakistan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8010,,531661,,,0
HS,2018,201811,November 2018,6,1,1,Imports,586,Pakistan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,223725,,18451180,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3788,,225712,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2044,,133193,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44668,,4879715,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27300,,2792460,,,0
HS,2018,201803,March 2018,6,1,1,Imports,586,Pakistan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,252380,,27251848,,,0
HS,2018,201805,May 2018,6,1,1,Imports,586,Pakistan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3435,,185103,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,707,,82001,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5496,,735239,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8102,,914114,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6926,,502388,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,571,,69751,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144845,,14238856,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5085,,657639,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6054,,517152,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,1697,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31792,,3484671,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97253,,8621787,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8920,,1150210,,,0
HS,2018,201808,August 2018,6,1,1,Imports,586,Pakistan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,315764,,30975505,,,0
HS,2018,201807,July 2018,6,1,1,Imports,586,Pakistan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86865,,5356623,,,0
HS,2018,201807,July 2018,6,1,1,Imports,586,Pakistan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85732,,4737507,,,0
HS,2018,201807,July 2018,6,1,1,Imports,586,Pakistan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,356959,,26367338,,,0
HS,2018,201809,September 2018,6,1,1,Imports,586,Pakistan,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2086,,130628,,,0
HS,2018,201809,September 2018,6,1,1,Imports,586,Pakistan,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,739,,52792,,,0
HS,2018,201809,September 2018,6,1,1,Imports,586,Pakistan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162264,,13091971,,,0
