Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,174,,1529,,,0
HS,2018,201809,September 2018,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,174,,1529,,,0
HS,2018,201810,October 2018,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,177,,153001,,,0
HS,2018,201803,March 2018,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,21475,,,0
HS,2018,201808,August 2018,6,1,1,Imports,600,Paraguay,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,20982,,,0
HS,2018,201808,August 2018,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,798,,49911,,,0
HS,2018,201808,August 2018,6,1,1,Imports,600,Paraguay,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,26072,,,0
HS,2018,201808,August 2018,6,1,1,Imports,600,Paraguay,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1734,,2483057,,,0
HS,2018,201808,August 2018,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2606,,2602464,,,0
HS,2018,201804,April 2018,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6693,,1599794,,,0
HS,2018,201804,April 2018,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1396,,58870,,,0
HS,2018,201804,April 2018,6,1,1,Imports,600,Paraguay,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,10777,,,0
HS,2018,201804,April 2018,6,1,1,Imports,600,Paraguay,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5200,,1480795,,,0
HS,2018,201804,April 2018,6,1,1,Imports,600,Paraguay,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,49352,,,0
HS,2018,201808,August 2018,6,1,1,Imports,600,Paraguay,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,22442,,,0
HS,2018,201811,November 2018,6,1,1,Imports,600,Paraguay,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3500,,,0
HS,2018,201811,November 2018,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,656,,,0
HS,2018,201811,November 2018,6,1,1,Imports,600,Paraguay,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,70000,,,0
HS,2018,201811,November 2018,6,1,1,Imports,600,Paraguay,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,467,,79513,,,0
HS,2018,201811,November 2018,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,506,,153669,,,0
HS,2018,201803,March 2018,6,1,1,Imports,600,Paraguay,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,10777,,,0
