Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,329,,155822,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,219,,63750,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,26662,,,0
HS,2018,201802,February 2018,6,1,1,Imports,604,Peru,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,426,,232611,,,0
HS,2018,201802,February 2018,6,1,1,Imports,604,Peru,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,48575,,,0
HS,2018,201802,February 2018,6,1,1,Imports,604,Peru,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1808,,1786921,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,74166,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1197,,967194,,,0
HS,2018,201810,October 2018,6,1,2,Exports,604,Peru,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,249,,,0
HS,2018,201810,October 2018,6,1,2,Exports,604,Peru,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,249,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18303,,2408336,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3769,,6785061,,,0
HS,2018,201810,October 2018,6,1,1,Imports,604,Peru,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23944,,10480990,,,0
HS,2018,201803,March 2018,6,1,1,Imports,604,Peru,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1222,,143806,,,0
HS,2018,201803,March 2018,6,1,1,Imports,604,Peru,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,67120,,,0
HS,2018,201803,March 2018,6,1,1,Imports,604,Peru,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,89107,,,0
