Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,1,Imports,634,Qatar,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,58757,,,0
HS,2018,201806,June 2018,6,1,1,Imports,634,Qatar,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132,,50793,,,0
HS,2018,201809,September 2018,6,1,1,Imports,634,Qatar,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,90618,,,0
HS,2018,201807,July 2018,6,1,1,Imports,634,Qatar,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,21901,,,0
HS,2018,201812,December 2018,6,1,1,Imports,634,Qatar,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,16798,,,0
HS,2018,201807,July 2018,6,1,1,Imports,634,Qatar,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,747,,31125,,,0
HS,2018,201803,March 2018,6,1,1,Imports,634,Qatar,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,311,,15331,,,0
HS,2018,201809,September 2018,6,1,1,Imports,634,Qatar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,16747,,,0
HS,2018,201811,November 2018,6,1,1,Imports,634,Qatar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,31271,,,0
HS,2018,201807,July 2018,6,1,1,Imports,634,Qatar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,208,,86196,,,0
HS,2018,201810,October 2018,6,1,1,Imports,634,Qatar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,112,,42694,,,0
