Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1127,,1222306,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,46592,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,7,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,128,,189000,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,418,Lao People's Dem. Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,233,,26194,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,262,,15120,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,430,Liberia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,319,,106925,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,315,,63375,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2645,,1058040,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,25275,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7019,,3056558,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11796,,926530,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51083,,21899170,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,19683,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,35061,,,0
HS,2018,201810,October 2018,6,1,1,Imports,410,Rep. of Korea,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5961,,1830144,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3206,,232864,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,44800,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,81000,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,8680,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,460,,159219,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1991,,245000,,,0
HS,2018,201810,October 2018,6,1,2,Exports,410,Rep. of Korea,,136,Cayman Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5600,,,0
