Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,1,Imports,498,Rep. of Moldova,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,472,,,0
HS,2018,201807,July 2018,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,47441,,,0
HS,2018,201806,June 2018,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,19749,,,0
HS,2018,201806,June 2018,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,29217,,,0
HS,2018,201806,June 2018,6,1,1,Imports,498,Rep. of Moldova,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2243,,,0
HS,2018,201806,June 2018,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,467,,25200,,,0
HS,2018,201810,October 2018,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,9849,,,0
HS,2018,201810,October 2018,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,310,,28845,,,0
HS,2018,201810,October 2018,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,19282,,,0
HS,2018,201810,October 2018,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,364,,57976,,,0
HS,2018,201812,December 2018,6,1,1,Imports,498,Rep. of Moldova,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,300,,,0
HS,2018,201812,December 2018,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,842,,241959,,,0
