Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2469,,2032771,,,0
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,142,,12810737,,,0
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,250,,443309,,,0
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,591,,,0
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1557,,2032779,,,0
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2041,,2485763,,,0
HS,2018,201812,December 2018,6,1,1,Imports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6458,,19805951,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,646,Rwanda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,19400,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,558,Nicaragua,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,134,,137681,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,258,,111744,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,17300,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,762,Tajikistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,6562,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,2581,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,2523,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,384,Côte d'Ivoire,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,92367,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4265,,1846880,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,562,Niger,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,395,,170817,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,180,Dem.Rep. of the Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1568,,679000,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,686,Senegal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,704,,304774,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2262,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7682,,3428741,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,3754,,,0
HS,2018,201812,December 2018,6,1,2,Exports,643,Russian Federation,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,31096,,,0
HS,2018,201811,November 2018,6,1,1,Imports,643,Russian Federation,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1471,,,0
HS,2018,201811,November 2018,6,1,1,Imports,643,Russian Federation,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,416,,102002,,,0
HS,2018,201811,November 2018,6,1,1,Imports,643,Russian Federation,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1136,,1894689,,,0
HS,2018,201811,November 2018,6,1,1,Imports,643,Russian Federation,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,631,,1470968,,,0
