Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201808,August 2018,6,1,1,Imports,882,Samoa,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8170,,,0
HS,2018,201808,August 2018,6,1,1,Imports,882,Samoa,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3115,,,0
HS,2018,201808,August 2018,6,1,1,Imports,882,Samoa,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1119,,,0
HS,2018,201808,August 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12404,,,0
HS,2018,201802,February 2018,6,1,1,Imports,882,Samoa,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4455,,,0
HS,2018,201802,February 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4455,,,0
HS,2018,201801,January 2018,6,1,1,Imports,882,Samoa,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4033,,,0
HS,2018,201801,January 2018,6,1,2,Exports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,140,,,0
HS,2018,201801,January 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4033,,,0
HS,2018,201801,January 2018,6,1,2,Exports,882,Samoa,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,140,,,0
HS,2018,201807,July 2018,6,1,2,Exports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,527,,,0
HS,2018,201807,July 2018,6,1,1,Imports,882,Samoa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2105,,,0
HS,2018,201807,July 2018,6,1,2,Exports,882,Samoa,,772,Tokelau,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,527,,,0
HS,2018,201807,July 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2105,,,0
HS,2018,201805,May 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,911,,,0
HS,2018,201805,May 2018,6,1,1,Imports,882,Samoa,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,911,,,0
HS,2018,201811,November 2018,6,1,1,Imports,882,Samoa,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1204,,,0
HS,2018,201811,November 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1204,,,0
HS,2018,201809,September 2018,6,1,1,Imports,882,Samoa,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,21024,,,0
HS,2018,201809,September 2018,6,1,1,Imports,882,Samoa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,21024,,,0
