Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,28962,,,0
HS,2018,201802,February 2018,6,1,1,Imports,678,Sao Tome and Principe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,28962,,,0
HS,2018,201803,March 2018,6,1,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,64476,,,0
HS,2018,201803,March 2018,6,1,1,Imports,678,Sao Tome and Principe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,64476,,,0
HS,2018,201804,April 2018,6,1,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,3968,,,0
HS,2018,201804,April 2018,6,1,1,Imports,678,Sao Tome and Principe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,3968,,,0
HS,2018,201806,June 2018,6,1,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,15348,,,0
HS,2018,201806,June 2018,6,1,1,Imports,678,Sao Tome and Principe,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,15348,,,0
HS,2018,201807,July 2018,6,1,1,Imports,678,Sao Tome and Principe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,3717,,,0
HS,2018,201807,July 2018,6,1,1,Imports,678,Sao Tome and Principe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,3717,,,0
