Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201803,March 2018,6,1,1,Imports,688,Serbia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,99874,,,0
HS,2018,201809,September 2018,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1986,,1423522,,,0
HS,2018,201809,September 2018,6,1,1,Imports,688,Serbia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,99701,,,0
HS,2018,201811,November 2018,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,467,,110605,,,0
HS,2018,201811,November 2018,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,72,,19646,,,0
HS,2018,201811,November 2018,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,7668,,,0
HS,2018,201811,November 2018,6,1,1,Imports,688,Serbia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,525,,,0
HS,2018,201811,November 2018,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,29336,,,0
HS,2018,201811,November 2018,6,1,1,Imports,688,Serbia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,418,,64227,,,0
HS,2018,201805,May 2018,6,1,1,Imports,688,Serbia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,7698,,,0
HS,2018,201805,May 2018,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1009,,472345,,,0
HS,2018,201804,April 2018,6,1,1,Imports,688,Serbia,,705,Slovenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1986,,,0
HS,2018,201804,April 2018,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,74756,,,0
