Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,2297,,,0
HS,2018,201810,October 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,15,,,0
HS,2018,201806,June 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,24890,,,0
HS,2018,201804,April 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,2666,,,0
HS,2018,201802,February 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,1603,,,0
HS,2018,201805,May 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,10999,,,0
HS,2018,201811,November 2018,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,4275,,,0
HS,2018,201806,June 2018,6,1,1,Imports,690,Seychelles,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,7306,,,0
HS,2018,201811,November 2018,6,1,1,Imports,690,Seychelles,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,1844,,,0
HS,2018,201809,September 2018,6,1,1,Imports,690,Seychelles,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1991,,,0
HS,2018,201810,October 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,15,,,0
HS,2018,201806,June 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,17584,,,0
HS,2018,201809,September 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,171,,,0
HS,2018,201802,February 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,800,,,0
HS,2018,201805,May 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,10999,,,0
HS,2018,201804,April 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,2666,,,0
HS,2018,201811,November 2018,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,71,,2430,,,0
HS,2018,201802,February 2018,6,1,1,Imports,690,Seychelles,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,803,,,0
HS,2018,201809,September 2018,6,1,1,Imports,690,Seychelles,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,135,,,0
