Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,231024,,,0
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,142,,66288,,,0
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,407323,,,0
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,589,,466883,,,0
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,17081,,,0
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,11651,,,0
HS,2018,201801,January 2018,6,1,1,Imports,705,Slovenia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,22106,,,0
HS,2018,201803,March 2018,6,1,1,Imports,705,Slovenia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,566492,,,0
HS,2018,201803,March 2018,6,1,1,Imports,705,Slovenia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,431,,382375,,,0
HS,2018,201803,March 2018,6,1,1,Imports,705,Slovenia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,93158,,,0
HS,2018,201803,March 2018,6,1,1,Imports,705,Slovenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1540,,1622615,,,0
HS,2018,201803,March 2018,6,1,2,Exports,705,Slovenia,,191,Croatia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2396,,,0
HS,2018,201803,March 2018,6,1,2,Exports,705,Slovenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2396,,,0
HS,2018,201802,February 2018,6,1,1,Imports,705,Slovenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,258593,,,0
HS,2018,201802,February 2018,6,1,1,Imports,705,Slovenia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,21149,,,0
