Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,1,Imports,710,South Africa,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3428,,625688,,,0
HS,2018,201807,July 2018,6,1,2,Exports,710,South Africa,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,426,,,0
HS,2018,201807,July 2018,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6234,,382930,,,0
HS,2018,201810,October 2018,6,1,1,Imports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2687,,685071,,,0
HS,2018,201810,October 2018,6,1,2,Exports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,14,,,0
HS,2018,201810,October 2018,6,1,1,Imports,710,South Africa,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2042,,19357,,,0
HS,2018,201810,October 2018,6,1,1,Imports,710,South Africa,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3221,,1450214,,,0
HS,2018,201806,June 2018,6,1,2,Exports,710,South Africa,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,575,,,0
HS,2018,201808,August 2018,6,1,2,Exports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,7,,,0
HS,2018,201811,November 2018,6,1,2,Exports,710,South Africa,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,619,,,0
HS,2018,201811,November 2018,6,1,2,Exports,710,South Africa,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,4120,,,0
HS,2018,201802,February 2018,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2939,,357901,,,0
HS,2018,201804,April 2018,6,1,2,Exports,710,South Africa,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2628,,172210,,,0
HS,2018,201804,April 2018,6,1,2,Exports,710,South Africa,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1099,,68053,,,0
HS,2018,201804,April 2018,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,113,,30584,,,0
HS,2018,201801,January 2018,6,1,2,Exports,710,South Africa,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,142,,23823,,,0
HS,2018,201801,January 2018,6,1,2,Exports,710,South Africa,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,5789,,,0
HS,2018,201803,March 2018,6,1,2,Exports,710,South Africa,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,9379,,,0
HS,2018,201803,March 2018,6,1,2,Exports,710,South Africa,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,500,,,0
HS,2018,201803,March 2018,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6832,,280691,,,0
HS,2018,201803,March 2018,6,1,1,Imports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19005,,5425642,,,0
HS,2018,201812,December 2018,6,1,2,Exports,710,South Africa,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1146,,25722,,,0
HS,2018,201812,December 2018,6,1,2,Exports,710,South Africa,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,7809,,,0
HS,2018,201812,December 2018,6,1,2,Exports,710,South Africa,,454,Malawi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,34225,,,0
HS,2018,201812,December 2018,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,9115,,,0
HS,2018,201803,March 2018,6,1,1,Imports,710,South Africa,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,827,,165036,,,0
HS,2018,201803,March 2018,6,1,1,Imports,710,South Africa,,288,Ghana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,10,,,0
HS,2018,201803,March 2018,6,1,1,Imports,710,South Africa,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2281,,2802742,,,0
HS,2018,201803,March 2018,6,1,1,Imports,710,South Africa,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,12,,,0
HS,2018,201803,March 2018,6,1,1,Imports,710,South Africa,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,606,,340853,,,0
