Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201811,November 2018,6,1,2,Exports,724,Spain,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,7717,,,0
HS,2018,201811,November 2018,6,1,1,Imports,724,Spain,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2924,,,0
HS,2018,201811,November 2018,6,1,1,Imports,724,Spain,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,324,,3030640,,,0
HS,2018,201802,February 2018,6,1,2,Exports,724,Spain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20018,,12215256,,,0
HS,2018,201802,February 2018,6,1,2,Exports,724,Spain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,7398,,,0
HS,2018,201802,February 2018,6,1,1,Imports,724,Spain,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5106,,79497,,,0
HS,2018,201809,September 2018,6,1,2,Exports,724,Spain,,191,Croatia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,82,,,0
HS,2018,201812,December 2018,6,1,2,Exports,724,Spain,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,279,,43778,,,0
HS,2018,201807,July 2018,6,1,2,Exports,724,Spain,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,14749,,,0
HS,2018,201804,April 2018,6,1,1,Imports,724,Spain,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,781,,,0
HS,2018,201804,April 2018,6,1,2,Exports,724,Spain,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,367,,1360137,,,0
HS,2018,201804,April 2018,6,1,2,Exports,724,Spain,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,4301,,,0
HS,2018,201804,April 2018,6,1,2,Exports,724,Spain,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,1907,,,0
HS,2018,201804,April 2018,6,1,2,Exports,724,Spain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,5605,,,0
HS,2018,201807,July 2018,6,1,2,Exports,724,Spain,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,4984,,,0
HS,2018,201807,July 2018,6,1,2,Exports,724,Spain,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,473,,208702,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,1644,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,226,,28235,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,145626,,13232240,,,0
HS,2018,201807,July 2018,6,1,2,Exports,724,Spain,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,23085,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,55158,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,7874,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5675,,9466,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4090,,12507261,,,0
HS,2018,201807,July 2018,6,1,1,Imports,724,Spain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12335,,8481420,,,0
