Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9184,,,0
HS,2018,201802,February 2018,6,1,1,Imports,275,State of Palestine,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9184,,,0
HS,2018,201803,March 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,104524,,,0
HS,2018,201803,March 2018,6,1,1,Imports,275,State of Palestine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,66037,,,0
HS,2018,201803,March 2018,6,1,1,Imports,275,State of Palestine,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17191,,,0
HS,2018,201803,March 2018,6,1,1,Imports,275,State of Palestine,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,21295,,,0
HS,2018,201804,April 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,61314,,,0
HS,2018,201804,April 2018,6,1,1,Imports,275,State of Palestine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,61314,,,0
HS,2018,201805,May 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,203582,,,0
HS,2018,201805,May 2018,6,1,1,Imports,275,State of Palestine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,203582,,,0
HS,2018,201806,June 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,195708,,,0
HS,2018,201806,June 2018,6,1,1,Imports,275,State of Palestine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,195708,,,0
HS,2018,201810,October 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,150343,,,0
HS,2018,201810,October 2018,6,1,1,Imports,275,State of Palestine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,78358,,,0
HS,2018,201810,October 2018,6,1,1,Imports,275,State of Palestine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,31484,,,0
HS,2018,201810,October 2018,6,1,1,Imports,275,State of Palestine,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,40502,,,0
HS,2018,201811,November 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1791990,,,0
HS,2018,201811,November 2018,6,1,1,Imports,275,State of Palestine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1173866,,,0
HS,2018,201811,November 2018,6,1,1,Imports,275,State of Palestine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,111253,,,0
HS,2018,201811,November 2018,6,1,1,Imports,275,State of Palestine,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,506070,,,0
HS,2018,201811,November 2018,6,1,1,Imports,275,State of Palestine,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,801,,,0
HS,2018,201812,December 2018,6,1,1,Imports,275,State of Palestine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,73149,,,0
HS,2018,201812,December 2018,6,1,1,Imports,275,State of Palestine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,73149,,,0
