Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,757,Switzerland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,695,,470291,,,0
HS,2018,201801,January 2018,6,1,1,Imports,757,Switzerland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,1187974,,,0
HS,2018,201801,January 2018,6,1,1,Imports,757,Switzerland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3758,,5373387,,,0
HS,2018,201801,January 2018,6,1,1,Imports,757,Switzerland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,256551,,,0
HS,2018,201810,October 2018,6,1,1,Imports,757,Switzerland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,515,,441207,,,0
HS,2018,201810,October 2018,6,1,1,Imports,757,Switzerland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,555437,,,0
HS,2018,201810,October 2018,6,1,1,Imports,757,Switzerland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1809,,1632855,,,0
HS,2018,201803,March 2018,6,1,1,Imports,757,Switzerland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6151,,6244191,,,0
HS,2018,201803,March 2018,6,1,2,Exports,757,Switzerland,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1210,,619451,,,0
HS,2018,201803,March 2018,6,1,2,Exports,757,Switzerland,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,69528,,,0
HS,2018,201803,March 2018,6,1,2,Exports,757,Switzerland,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,295,,238534,,,0
HS,2018,201803,March 2018,6,1,2,Exports,757,Switzerland,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,18183,,,0
