Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,807,TFYR of Macedonia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,869,,,0
HS,2018,201804,April 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,4203,,,0
HS,2018,201807,July 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,285,,205284,,,0
HS,2018,201807,July 2018,6,1,1,Imports,807,TFYR of Macedonia,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,118,,,0
HS,2018,201807,July 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,326,,205501,,,0
HS,2018,201807,July 2018,6,1,1,Imports,807,TFYR of Macedonia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,100,,,0
HS,2018,201808,August 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,572876,,,0
HS,2018,201809,September 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,29871,,,0
HS,2018,201803,March 2018,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1065,,195861,,,0
HS,2018,201811,November 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,52722,,,0
HS,2018,201809,September 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,29871,,,0
HS,2018,201811,November 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,52722,,,0
HS,2018,201806,June 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,44488,,,0
HS,2018,201806,June 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,56556,,,0
HS,2018,201801,January 2018,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,11793,,,0
HS,2018,201812,December 2018,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5800,,,0
HS,2018,201803,March 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1079,,205231,,,0
HS,2018,201810,October 2018,6,1,1,Imports,807,TFYR of Macedonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,76550,,,0
HS,2018,201810,October 2018,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,11052,,,0
HS,2018,201810,October 2018,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,20396,,,0
HS,2018,201803,March 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,9370,,,0
HS,2018,201808,August 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,572876,,,0
HS,2018,201812,December 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5800,,,0
HS,2018,201810,October 2018,6,1,1,Imports,807,TFYR of Macedonia,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,330,,,0
HS,2018,201801,January 2018,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,18552,,,0
HS,2018,201804,April 2018,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,4203,,,0
HS,2018,201810,October 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1276,,1153186,,,0
HS,2018,201810,October 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1176,,1044857,,,0
HS,2018,201801,January 2018,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,61323,,,0
HS,2018,201801,January 2018,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,30108,,,0
