Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,792,Turkey,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,6723927,,,0
HS,2018,201801,January 2018,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7875,,3357901,,,0
HS,2018,201803,March 2018,6,1,1,Imports,792,Turkey,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9531,,812520,,,0
HS,2018,201812,December 2018,6,1,1,Imports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2208,,1002454,,,0
HS,2018,201812,December 2018,6,1,1,Imports,792,Turkey,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1012,,692596,,,0
HS,2018,201812,December 2018,6,1,1,Imports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42262,,4857792,,,0
HS,2018,201812,December 2018,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26316,,2680221,,,0
HS,2018,201803,March 2018,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2804,,,0
HS,2018,201802,February 2018,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,4355,,,0
HS,2018,201803,March 2018,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2804,,,0
HS,2018,201802,February 2018,6,1,1,Imports,792,Turkey,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1890,,954363,,,0
HS,2018,201801,January 2018,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,6208,,,0
HS,2018,201801,January 2018,6,1,2,Exports,792,Turkey,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,32936,,,0
HS,2018,201802,February 2018,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,2835,,,0
HS,2018,201803,March 2018,6,1,1,Imports,792,Turkey,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1045,,344376,,,0
HS,2018,201801,January 2018,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,127,,30073,,,0
HS,2018,201801,January 2018,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,515,,77015,,,0
HS,2018,201802,February 2018,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3323,,2185370,,,0
HS,2018,201803,March 2018,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10915,,4295387,,,0
HS,2018,201802,February 2018,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,1520,,,0
HS,2018,201801,January 2018,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,175,,7684,,,0
HS,2018,201801,January 2018,6,1,2,Exports,792,Turkey,,838,Free Zones,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,114,,,0
HS,2018,201801,January 2018,6,1,1,Imports,792,Turkey,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4823,,406317,,,0
HS,2018,201801,January 2018,6,1,1,Imports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8941,,10640363,,,0
HS,2018,201801,January 2018,6,1,1,Imports,792,Turkey,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,226,,3822587,,,0
