Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,2,Exports,842,United States of America,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2734,,725270,,,0
HS,2018,201810,October 2018,6,1,2,Exports,842,United States of America,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132,,47900,,,0
HS,2018,201807,July 2018,6,1,2,Exports,842,United States of America,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,91180,,,0
HS,2018,201807,July 2018,6,1,2,Exports,842,United States of America,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2931,,306899,,,0
HS,2018,201807,July 2018,6,1,2,Exports,842,United States of America,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7739,,1272006,,,0
HS,2018,201807,July 2018,6,1,2,Exports,842,United States of America,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4045,,880184,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,375,,75936,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,8204,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,430,Liberia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,9285,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,562,Niger,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2920,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,11516,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,660,Anguilla,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,3386,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14443,,1099481,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,147,,98996,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,114000,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,273,,120760,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,136,Cayman Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,7546,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,9401,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,222,El Salvador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,822,,239422,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,328,Guyana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,407,,25000,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2834,,252127,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,290,,27798,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2586,,4102940,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,2818,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,466,Mali,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,108,,10202,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,85446,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,406614,,262994287,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,842,United States of America,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1398,,291474,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,842,United States of America,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,2818,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,842,United States of America,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,8151,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,842,United States of America,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,5696,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,842,United States of America,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,860,,49964,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,842,United States of America,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,356,,142332,,,0
HS,2018,201809,September 2018,6,1,1,Imports,842,United States of America,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,12438,,,0
HS,2018,201809,September 2018,6,1,1,Imports,842,United States of America,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2392,,,0
HS,2018,201809,September 2018,6,1,1,Imports,842,United States of America,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9193,,71635387,,,0
HS,2018,201809,September 2018,6,1,1,Imports,842,United States of America,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,301,,2265265,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3901,,313243,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,2905,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,34521,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28707,,11449086,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1633,,1263670,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14902,,1377932,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6113,,1052274,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,805,,511187,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2847,,645480,,,0
HS,2018,201809,September 2018,6,1,2,Exports,842,United States of America,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9530,,2233089,,,0
