Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,1,Imports,800,Uganda,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,2033,,,0
HS,2018,201806,June 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,325,,45178,,,0
HS,2018,201810,October 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,5590,,,0
HS,2018,201805,May 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,219,,21880,,,0
HS,2018,201809,September 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,424,,57263,,,0
HS,2018,201808,August 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,562,,68816,,,0
HS,2018,201802,February 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,545,,64009,,,0
HS,2018,201804,April 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,102,,,0
HS,2018,201812,December 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,49638,,,0
HS,2018,201803,March 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111,,29533,,,0
HS,2018,201807,July 2018,6,1,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,244,,28273,,,0
HS,2018,201812,December 2018,6,1,1,Imports,800,Uganda,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5209,,1005807,,,0
HS,2018,201808,August 2018,6,1,1,Imports,800,Uganda,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5103,,1005782,,,0
HS,2018,201804,April 2018,6,1,2,Exports,800,Uganda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18000,,12639,,,0
