Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,9000,,,0
HS,2018,201802,February 2018,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,460,,235955,,,0
HS,2018,201802,February 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8369,,1853765,,,0
HS,2018,201802,February 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1235,,998189,,,0
HS,2018,201802,February 2018,6,1,1,Imports,804,Ukraine,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6653,,606973,,,0
HS,2018,201802,February 2018,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3648,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,62832,,,0
HS,2018,201808,August 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2093,,1997186,,,0
HS,2018,201808,August 2018,6,1,1,Imports,804,Ukraine,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,422,,112328,,,0
HS,2018,201808,August 2018,6,1,1,Imports,804,Ukraine,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,103795,,,0
HS,2018,201808,August 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3309,,2574813,,,0
HS,2018,201806,June 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,591,,266974,,,0
HS,2018,201805,May 2018,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,780,,52989,,,0
HS,2018,201809,September 2018,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5544,,2250824,,,0
HS,2018,201805,May 2018,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,257,,264405,,,0
HS,2018,201805,May 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1701,,545330,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2803,,256276,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,957,,527759,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,274,,68335,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2035,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,67351,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,620,,476114,,,0
HS,2018,201801,January 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4762,,1460702,,,0
HS,2018,201804,April 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,7920,,,0
HS,2018,201804,April 2018,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,736,,376748,,,0
HS,2018,201804,April 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4727,,3746616,,,0
HS,2018,201804,April 2018,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,3951,,,0
HS,2018,201803,March 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,9000,,,0
HS,2018,201803,March 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,878,,767725,,,0
HS,2018,201803,March 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,854,,741725,,,0
HS,2018,201803,March 2018,6,1,1,Imports,804,Ukraine,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,17001,,,0
HS,2018,201806,June 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13119,,2698197,,,0
HS,2018,201806,June 2018,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,4413,,,0
HS,2018,201806,June 2018,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11957,,2003897,,,0
HS,2018,201806,June 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,140967,,,0
HS,2018,201807,July 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1505,,,0
HS,2018,201807,July 2018,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4553,,5459593,,,0
HS,2018,201809,September 2018,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7684,,3946295,,,0
HS,2018,201809,September 2018,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,47,,,0
HS,2018,201809,September 2018,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2119,,1674348,,,0
HS,2018,201809,September 2018,6,1,1,Imports,804,Ukraine,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,17477,,,0
HS,2018,201809,September 2018,6,1,1,Imports,804,Ukraine,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,3600,,,0
