Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,3,Re-exports,784,United Arab Emirates,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1269,,113631,,,0
HS,2018,201812,December 2018,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45698,,10768039,,,0
HS,2018,201801,January 2018,6,1,3,Re-exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1727,,4138590,,,0
HS,2018,201801,January 2018,6,1,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1727,,4138590,,,0
HS,2018,201801,January 2018,6,1,1,Imports,784,United Arab Emirates,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,628,,151559,,,0
HS,2018,201801,January 2018,6,1,1,Imports,784,United Arab Emirates,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,607,,797952,,,0
HS,2018,201801,January 2018,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1628,,175224,,,0
HS,2018,201804,April 2018,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,181,,18754,,,0
HS,2018,201804,April 2018,6,1,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2093,,204937,,,0
HS,2018,201812,December 2018,6,1,2,Exports,784,United Arab Emirates,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1269,,113631,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,1395,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2344,,367091,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2721,,1334611,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,352,,100558,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,784,United Arab Emirates,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,513,,3088,,,0
HS,2018,201809,September 2018,6,1,2,Exports,784,United Arab Emirates,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,765,,315492,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2288,,2014654,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1262,,73547,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,760,,543474,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6792,,45013,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8148,,6533667,,,0
HS,2018,201803,March 2018,6,1,1,Imports,784,United Arab Emirates,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1716,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,784,United Arab Emirates,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,765,,315492,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6615,,1054912,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2279,,280184,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10252,,2339154,,,0
HS,2018,201809,September 2018,6,1,2,Exports,784,United Arab Emirates,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,513,,3088,,,0
HS,2018,201809,September 2018,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43879,,14688260,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,236,,166555,,,0
HS,2018,201810,October 2018,6,1,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2741,,622462,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,784,United Arab Emirates,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,219,,163206,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,5693,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,784,United Arab Emirates,,231,Ethiopia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,3349,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,2883,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,420,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15635,,3277934,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2714,,406130,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,530,,47069,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29092,,7521085,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,361,,,0
HS,2018,201810,October 2018,6,1,1,Imports,784,United Arab Emirates,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,342,,125700,,,0
HS,2018,201810,October 2018,6,1,2,Exports,784,United Arab Emirates,,231,Ethiopia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,3349,,,0
HS,2018,201810,October 2018,6,1,2,Exports,784,United Arab Emirates,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,219,,163206,,,0
HS,2018,201810,October 2018,6,1,2,Exports,784,United Arab Emirates,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2505,,455907,,,0
HS,2018,201806,June 2018,6,1,2,Exports,784,United Arab Emirates,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,350,,,0
HS,2018,201806,June 2018,6,1,1,Imports,784,United Arab Emirates,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4375,,855116,,,0
HS,2018,201806,June 2018,6,1,1,Imports,784,United Arab Emirates,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,78407,,,0
HS,2018,201806,June 2018,6,1,1,Imports,784,United Arab Emirates,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,292,,48500,,,0
HS,2018,201806,June 2018,6,1,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,350,,,0
HS,2018,201806,June 2018,6,1,1,Imports,784,United Arab Emirates,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9602,,5317871,,,0
HS,2018,201806,June 2018,6,1,1,Imports,784,United Arab Emirates,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,136,,,0
HS,2018,201805,May 2018,6,1,2,Exports,784,United Arab Emirates,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,109,,,0
HS,2018,201805,May 2018,6,1,2,Exports,784,United Arab Emirates,,140,Central African Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,144,,,0
HS,2018,201805,May 2018,6,1,1,Imports,784,United Arab Emirates,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,386,,263965,,,0
