Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201804,April 2018,6,1,2,Exports,826,United Kingdom,,268,Georgia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,5386,,,0
HS,2018,201804,April 2018,6,1,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,217897,,,0
HS,2018,201802,February 2018,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2576,,4892964,,,0
HS,2018,201802,February 2018,6,1,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,17860,,,0
HS,2018,201802,February 2018,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12116,,9556167,,,0
HS,2018,201802,February 2018,6,1,1,Imports,826,United Kingdom,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2058,,,0
HS,2018,201804,April 2018,6,1,1,Imports,826,United Kingdom,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111,,174937,,,0
HS,2018,201804,April 2018,6,1,1,Imports,826,United Kingdom,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,3372,,,0
HS,2018,201804,April 2018,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1385,,166317,,,0
HS,2018,201804,April 2018,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15573,,13071754,,,0
HS,2018,201804,April 2018,6,1,2,Exports,826,United Kingdom,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,798,,952518,,,0
HS,2018,201802,February 2018,6,1,2,Exports,826,United Kingdom,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1280,,,0
HS,2018,201802,February 2018,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88207,,400354988,,,0
HS,2018,201802,February 2018,6,1,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1710,,1655308,,,0
HS,2018,201802,February 2018,6,1,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,997,,1895731,,,0
HS,2018,201804,April 2018,6,1,2,Exports,826,United Kingdom,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,252,,348905,,,0
HS,2018,201804,April 2018,6,1,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,5543,,,0
HS,2018,201804,April 2018,6,1,2,Exports,826,United Kingdom,,12,Algeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3758,,4071663,,,0
HS,2018,201809,September 2018,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,613,,2639004,,,0
HS,2018,201801,January 2018,6,1,1,Imports,826,United Kingdom,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,31177,,,0
