Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5393,,1191315,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,60,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,117,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2895,,130843,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1694,,986937,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1173,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,685,,65200,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,6497,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,349,,,0
HS,2018,201801,January 2018,6,1,1,Imports,834,United Rep. of Tanzania,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,138,,,0
