Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12709,,3713548,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2888,,862470,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111,,32075,,,0
HS,2018,201810,October 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,21160,,,0
HS,2018,201802,February 2018,6,1,1,Imports,894,Zambia,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,1861,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3386,,1325990,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,175,,,0
HS,2018,201805,May 2018,6,1,1,Imports,894,Zambia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,280,,,0
HS,2018,201801,January 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,14273,,,0
HS,2018,201812,December 2018,6,1,2,Exports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30000,,15632,,,0
HS,2018,201811,November 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7409,,914418,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3880,,112333,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,5471,,,0
HS,2018,201801,January 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4428,,3169177,,,0
HS,2018,201805,May 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,271,,,0
HS,2018,201801,January 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18725,,4545850,,,0
HS,2018,201801,January 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8277,,101357,,,0
HS,2018,201811,November 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4861,,340929,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,583,,167641,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,416,,,0
HS,2018,201811,November 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,5893,,,0
HS,2018,201811,November 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2523,,566428,,,0
HS,2018,201808,August 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,926,,274748,,,0
HS,2018,201805,May 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,7148,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1220,,338195,,,0
HS,2018,201801,January 2018,6,1,1,Imports,894,Zambia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5959,,1259914,,,0
HS,2018,201803,March 2018,6,1,1,Imports,894,Zambia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1215,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10287,,3187426,,,0
HS,2018,201803,March 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,24587,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,2632,,,0
HS,2018,201811,November 2018,6,1,1,Imports,894,Zambia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1168,,,0
HS,2018,201805,May 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,7699,,,0
HS,2018,201801,January 2018,6,1,1,Imports,894,Zambia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,1129,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,643,,790563,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26435,,4784541,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3675,,1698595,,,0
HS,2018,201802,February 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,134,,12898,,,0
HS,2018,201808,August 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,926,,274748,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,586,,95958,,,0
HS,2018,201810,October 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5139,,365927,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,9545,,,0
HS,2018,201802,February 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1753,,321751,,,0
HS,2018,201802,February 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1572,,302326,,,0
HS,2018,201802,February 2018,6,1,1,Imports,894,Zambia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,4666,,,0
HS,2018,201803,March 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4905,,1211430,,,0
HS,2018,201803,March 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4709,,1183501,,,0
HS,2018,201810,October 2018,6,1,1,Imports,894,Zambia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,509,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16594,,2203937,,,0
HS,2018,201810,October 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5044,,344258,,,0
HS,2018,201806,June 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,13391,,,0
HS,2018,201806,June 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,33,,,0
HS,2018,201812,December 2018,6,1,2,Exports,894,Zambia,,454,Malawi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30000,,15632,,,0
HS,2018,201809,September 2018,6,1,1,Imports,894,Zambia,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,1310,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,2320,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2407,,1650071,,,0
HS,2018,201807,July 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,579,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1144,,19318,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3884,,2022347,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7014,,1490123,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,8071,,,0
HS,2018,201812,December 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,5632,,,0
HS,2018,201806,June 2018,6,1,1,Imports,894,Zambia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,699,,,0
HS,2018,201806,June 2018,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,14123,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8534,,2234399,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,2481,,,0
HS,2018,201804,April 2018,6,1,1,Imports,894,Zambia,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,58,,,0
HS,2018,201803,March 2018,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,2127,,,0
