Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201804,April 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3307,,1934192,,,0
HS,2018,201804,April 2018,6,1,1,Imports,716,Zimbabwe,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,3885,,,0
HS,2018,201804,April 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,1886,,,0
HS,2018,201804,April 2018,6,1,2,Exports,716,Zimbabwe,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1525,,,0
HS,2018,201804,April 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,36769,,,0
HS,2018,201804,April 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,137,,8661,,,0
HS,2018,201804,April 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3663,,1985394,,,0
HS,2018,201804,April 2018,6,1,2,Exports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1525,,,0
HS,2018,201808,August 2018,6,1,1,Imports,716,Zimbabwe,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,2283,,,0
HS,2018,201808,August 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97,,17385,,,0
HS,2018,201807,July 2018,6,1,1,Imports,716,Zimbabwe,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,596,,644194,,,0
HS,2018,201807,July 2018,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,687,,47477,,,0
HS,2018,201808,August 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,15763,,,0
HS,2018,201802,February 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,735,,181585,,,0
HS,2018,201802,February 2018,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,266,,70989,,,0
HS,2018,201802,February 2018,6,1,1,Imports,716,Zimbabwe,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,59,,,0
HS,2018,201808,August 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,160,,35432,,,0
HS,2018,201807,July 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2224,,782098,,,0
HS,2018,201807,July 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,915,,77317,,,0
HS,2018,201802,February 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1173,,276133,,,0
HS,2018,201802,February 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,166,,23500,,,0
HS,2018,201807,July 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,13110,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,3128,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4844,,2813537,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,465,,53453,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,277,,18995,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,627,,50163,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2696,,493043,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,1617,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1413,,274396,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,942,,172260,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,3410,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,198,,41008,,,0
HS,2018,201805,May 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,351,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6299,,2944182,,,0
HS,2018,201809,September 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,4906,,,0
HS,2018,201810,October 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,807,,,0
HS,2018,201810,October 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,157,,8020,,,0
HS,2018,201810,October 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,10586,,,0
HS,2018,201810,October 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,1759,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,8802,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,626,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2781,,2107570,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3760,,1053653,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,3559,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,273,,23465,,,0
HS,2018,201806,June 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6992,,3197676,,,0
HS,2018,201811,November 2018,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51,,10082,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3343,,801268,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,468,,75106,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6251,,1054221,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,4580,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,2491,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,4420,,,0
HS,2018,201811,November 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156,,29219,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10603,,2210180,,,0
HS,2018,201811,November 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,207,,39301,,,0
HS,2018,201812,December 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,465,,268093,,,0
HS,2018,201803,March 2018,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10669,,8208448,,,0
HS,2018,201803,March 2018,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8897049,,,0
HS,2018,201803,March 2018,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9,,,0
HS,2018,201803,March 2018,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,2024,,,0
HS,2018,201803,March 2018,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4494,,686568,,,0
