Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1956,,253288,,,0
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1556,,801433,,,0
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1853,,294647,,,0
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,554,,463319,,,0
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5292,,5568084,,,0
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5824,,5711985,,,0
HS,2019,201901,January 2019,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17035,,13092756,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4008,,3906767,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,9110,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4681,,4708763,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,374,,161491,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,113,,4790,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,888,,154900,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18114,,4820013,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6726,,707085,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,71,,38205,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36125,,15484763,,,0
HS,2019,201904,April 2019,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1145,,973640,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5686,,2076426,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3309,,264557,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,443,,76399,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,403,,2443955,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6233,,5299325,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4450,,5012847,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1644,,311230,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26964,,19741093,,,0
HS,2019,201906,June 2019,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4796,,4256355,,,0
HS,2019,201902,February 2019,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2569,,2761176,,,0
HS,2019,201902,February 2019,6,1,1,Imports,32,Argentina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3206,,238100,,,0
