Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201903,March 2019,6,1,2,Exports,36,Australia,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,252482,,,0
HS,2019,201906,June 2019,6,1,2,Exports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2996,,7640010,,,0
HS,2019,201906,June 2019,6,1,2,Exports,36,Australia,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,16677,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,260593,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,269822,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4254,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,303459,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6320540,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,824407,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,886,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,265956,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5642088,,,0
HS,2019,201906,June 2019,6,1,1,Imports,36,Australia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,538186,,,0
HS,2019,201908,August 2019,6,1,2,Exports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1600,,405252,,,0
HS,2019,201908,August 2019,6,1,2,Exports,36,Australia,,258,French Polynesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2531,,,0
HS,2019,201908,August 2019,6,1,2,Exports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1284,,3294653,,,0
HS,2019,201908,August 2019,6,1,2,Exports,36,Australia,,296,Kiribati,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,8671,,,0
HS,2019,201908,August 2019,6,1,2,Exports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,2300,,,0
HS,2019,201908,August 2019,6,1,2,Exports,36,Australia,,882,Samoa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,3518,,,0
HS,2019,201902,February 2019,6,1,2,Exports,36,Australia,,540,New Caledonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,28920,,,0
HS,2019,201902,February 2019,6,1,2,Exports,36,Australia,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2592,,160267,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7233146,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2394284,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,267909,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3109380,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3308646,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1520917,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1128896,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2359547,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3471,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1975284,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,612892,,,0
HS,2019,201902,February 2019,6,1,1,Imports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,23914372,,,0
HS,2019,201902,February 2019,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5084,,1568265,,,0
HS,2019,201902,February 2019,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7840,,1757452,,,0
HS,2019,201907,July 2019,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,34728,,,0
HS,2019,201907,July 2019,6,1,2,Exports,36,Australia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,2813,,,0
HS,2019,201907,July 2019,6,1,2,Exports,36,Australia,,162,Christmas Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,691,,,0
