Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201909,September 2019,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,5679,,,0
HS,2019,201909,September 2019,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2095,,563409,,,0
HS,2019,201905,May 2019,6,1,1,Imports,31,Azerbaijan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,10606,,,0
HS,2019,201905,May 2019,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,30154,,,0
HS,2019,201902,February 2019,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97,,27682,,,0
HS,2019,201902,February 2019,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3600,,,0
HS,2019,201902,February 2019,6,1,1,Imports,31,Azerbaijan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,22350,,,0
HS,2019,201902,February 2019,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1254,,249053,,,0
HS,2019,201902,February 2019,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,3245,,,0
HS,2019,201902,February 2019,6,1,1,Imports,31,Azerbaijan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1095,,192176,,,0
HS,2019,201910,October 2019,6,1,1,Imports,31,Azerbaijan,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,459,,,0
HS,2019,201910,October 2019,6,1,1,Imports,31,Azerbaijan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1361,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1789,,860194,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,5607,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,178,,23585,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,7611,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,257,,47320,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5497,,1664126,,,0
HS,2019,201912,December 2019,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,358,,95260,,,0
