Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201912,December 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3688,,2501900,,,0
HS,2019,201912,December 2019,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1813,,1617800,,,0
HS,2019,201912,December 2019,6,1,1,Imports,112,Belarus,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,588,,464000,,,0
HS,2019,201912,December 2019,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,11600,,,0
HS,2019,201905,May 2019,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,6500,,,0
HS,2019,201905,May 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,616,,1045600,,,0
HS,2019,201905,May 2019,6,1,1,Imports,112,Belarus,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,233500,,,0
HS,2019,201902,February 2019,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,720,,151000,,,0
HS,2019,201902,February 2019,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,117,,198600,,,0
HS,2019,201902,February 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,841,,359500,,,0
HS,2019,201901,January 2019,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6500,,,0
HS,2019,201904,April 2019,6,1,1,Imports,112,Belarus,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,9600,,,0
HS,2019,201904,April 2019,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,34100,,,0
HS,2019,201904,April 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,43700,,,0
HS,2019,201912,December 2019,6,1,2,Exports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3900,,,0
HS,2019,201912,December 2019,6,1,1,Imports,112,Belarus,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1120,,333300,,,0
HS,2019,201912,December 2019,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,75200,,,0
HS,2019,201912,December 2019,6,1,2,Exports,112,Belarus,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3900,,,0
HS,2019,201901,January 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6500,,,0
HS,2019,201901,January 2019,6,1,2,Exports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,100,,,0
HS,2019,201901,January 2019,6,1,2,Exports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,100,,,0
HS,2019,201903,March 2019,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6500,,,0
HS,2019,201903,March 2019,6,1,1,Imports,112,Belarus,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156,,123200,,,0
HS,2019,201903,March 2019,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,10900,,,0
HS,2019,201903,March 2019,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,924,,1209000,,,0
HS,2019,201903,March 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1202,,1349600,,,0
HS,2019,201902,February 2019,6,1,1,Imports,112,Belarus,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,9900,,,0
HS,2019,201905,May 2019,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,597,,805600,,,0
HS,2019,201906,June 2019,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2800,,,0
HS,2019,201906,June 2019,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,549,,419900,,,0
HS,2019,201906,June 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,753,,587600,,,0
HS,2019,201906,June 2019,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,203,,164900,,,0
HS,2019,201911,November 2019,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,823,,646100,,,0
HS,2019,201911,November 2019,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,823,,646100,,,0
