Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201902,February 2019,6,1,1,Imports,68,Bolivia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1641,,465081,,,0
HS,2019,201902,February 2019,6,1,1,Imports,68,Bolivia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4474,,113123,,,0
HS,2019,201902,February 2019,6,1,1,Imports,68,Bolivia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,98035,,,0
HS,2019,201902,February 2019,6,1,1,Imports,68,Bolivia,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,17826,,,0
HS,2019,201902,February 2019,6,1,1,Imports,68,Bolivia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,923,,260652,,,0
HS,2019,201903,March 2019,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13886,,1692469,,,0
HS,2019,201903,March 2019,6,1,1,Imports,68,Bolivia,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,784,,312612,,,0
HS,2019,201903,March 2019,6,1,1,Imports,68,Bolivia,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,81,,24870,,,0
HS,2019,201903,March 2019,6,1,1,Imports,68,Bolivia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6594,,641165,,,0
HS,2019,201903,March 2019,6,1,1,Imports,68,Bolivia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103,,111946,,,0
HS,2019,201903,March 2019,6,1,1,Imports,68,Bolivia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6324,,601875,,,0
HS,2019,201901,January 2019,6,1,1,Imports,68,Bolivia,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103,,9780,,,0
HS,2019,201901,January 2019,6,1,1,Imports,68,Bolivia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2435,,230050,,,0
HS,2019,201901,January 2019,6,1,1,Imports,68,Bolivia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7071,,810594,,,0
HS,2019,201901,January 2019,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9609,,1050424,,,0
HS,2019,201902,February 2019,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7156,,954718,,,0
