Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,70,Bosnia Herzegovina,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,216,,,0
HS,2019,201910,October 2019,6,1,1,Imports,70,Bosnia Herzegovina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,9653,,,0
HS,2019,201910,October 2019,6,1,1,Imports,70,Bosnia Herzegovina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,5524,,,0
HS,2019,201905,May 2019,6,1,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,671,,245449,,,0
HS,2019,201905,May 2019,6,1,1,Imports,70,Bosnia Herzegovina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,236,,93982,,,0
HS,2019,201904,April 2019,6,1,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,483,,231610,,,0
HS,2019,201904,April 2019,6,1,1,Imports,70,Bosnia Herzegovina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,267,,,0
HS,2019,201907,July 2019,6,1,2,Exports,70,Bosnia Herzegovina,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2,,,0
HS,2019,201901,January 2019,6,1,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1188,,,0
HS,2019,201902,February 2019,6,1,1,Imports,70,Bosnia Herzegovina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1256,,,0
HS,2019,201902,February 2019,6,1,1,Imports,70,Bosnia Herzegovina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,9934,,,0
HS,2019,201902,February 2019,6,1,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,12825,,,0
HS,2019,201901,January 2019,6,1,1,Imports,70,Bosnia Herzegovina,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,46648,,,0
HS,2019,201902,February 2019,6,1,1,Imports,70,Bosnia Herzegovina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1635,,,0
HS,2019,201906,June 2019,6,1,1,Imports,70,Bosnia Herzegovina,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,7,,,0
HS,2019,201906,June 2019,6,1,1,Imports,70,Bosnia Herzegovina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,535,,,0
