Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2860,,347858,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,18,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,733,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,326,,106765,,,0
HS,2019,201902,February 2019,6,1,1,Imports,72,Botswana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,425,,5546,,,0
HS,2019,201902,February 2019,6,1,1,Imports,72,Botswana,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1492,,,0
HS,2019,201902,February 2019,6,1,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,419,,4054,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,97,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1989,,220345,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,9817,,,0
HS,2019,201901,January 2019,6,1,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,370,,10084,,,0
