Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55490,,10763778,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9972,,25805993,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,149,,108811,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,367,,1260093,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9391,,1103358,,,0
HS,2019,201903,March 2019,6,1,2,Exports,76,Brazil,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,106581,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5165,,1598928,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,598,,2117017,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16853,,3090776,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7340,,4778954,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19381,,4682566,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5472,,1764118,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,97184,,,0
HS,2019,201903,March 2019,6,1,2,Exports,76,Brazil,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,1338,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10286,,12238090,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19938,,23317677,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85099,,53685310,,,0
HS,2019,201903,March 2019,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,107919,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1433,,1980867,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37311,,30446137,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6259,,561318,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,177,,573265,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11327,,2563587,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5988,,10719790,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17613,,13276338,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97,,20715,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135695,,70905795,,,0
HS,2019,201904,April 2019,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,18979,,,0
