Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201902,February 2019,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1088,,594303,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1998,,282711,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,6391,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,232,Eritrea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,173,,10469,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,686,Senegal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,11883,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2751,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1175,,548634,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,11504,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,249,,405441,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,498,Rep. of Moldova,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,394,,82101,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,318,,221104,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,140,Central African Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,20239,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,233,,393976,,,0
HS,2019,201909,September 2019,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2359,,1275617,,,0
HS,2019,201909,September 2019,6,1,2,Exports,100,Bulgaria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6327,,,0
HS,2019,201909,September 2019,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,763,,741031,,,0
HS,2019,201908,August 2019,6,1,2,Exports,100,Bulgaria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,851,,,0
HS,2019,201908,August 2019,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4166,,2148513,,,0
HS,2019,201908,August 2019,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,934,,533431,,,0
HS,2019,201908,August 2019,6,1,1,Imports,100,Bulgaria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,453682,,,0
HS,2019,201908,August 2019,6,1,2,Exports,100,Bulgaria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2504,,,0
HS,2019,201908,August 2019,6,1,2,Exports,100,Bulgaria,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,15213,,,0
HS,2019,201907,July 2019,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2132,,2096885,,,0
HS,2019,201907,July 2019,6,1,1,Imports,100,Bulgaria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,37580,,,0
HS,2019,201907,July 2019,6,1,1,Imports,100,Bulgaria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,429,,,0
HS,2019,201907,July 2019,6,1,2,Exports,100,Bulgaria,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,312,,,0
HS,2019,201907,July 2019,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9358,,2540436,,,0
HS,2019,201906,June 2019,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,934,,1258170,,,0
HS,2019,201901,January 2019,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3287,,2117536,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,867,,325972,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,680,,1143025,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,498,Rep. of Moldova,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,18222,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,687,,38485,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,5419,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,5305,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,191,Croatia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,11286,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,396,,547222,,,0
HS,2019,201901,January 2019,6,1,2,Exports,100,Bulgaria,,268,Georgia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,58192,,,0
