Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201911,November 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7165,,6408138,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1930,,420641,,,0
HS,2019,201910,October 2019,6,1,1,Imports,152,Chile,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,275000,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,83,,139679,,,0
HS,2019,201908,August 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,43456,,,0
HS,2019,201908,August 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1545,,680392,,,0
HS,2019,201906,June 2019,6,1,1,Imports,152,Chile,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,84,,101589,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,413,,181691,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,674,,486742,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,837,,834844,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,42424,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,312,,22075,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2611,,1859323,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,801,,379503,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,267,,19664,,,0
HS,2019,201901,January 2019,6,1,1,Imports,152,Chile,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,769647,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,232,,51994,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1363,,411638,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10972,,5326168,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6722,,2567731,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,123265,,,0
HS,2019,201912,December 2019,6,1,1,Imports,152,Chile,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1798,,1294272,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,213968,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1720,,101792,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1641,,9108946,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2582,,560387,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,240,,31020,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,386,,625521,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7335,,2776337,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28709,,17459249,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6494,,2586764,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8790,,9210022,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3003,,3180305,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,108,,60455,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,630,,184328,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,57830,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6416,,1104553,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,4984,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,54671,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,318000,,,0
HS,2019,201905,May 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3207,,697337,,,0
HS,2019,201910,October 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1136,,99494,,,0
HS,2019,201910,October 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,577,,213269,,,0
HS,2019,201910,October 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3031,,5494143,,,0
HS,2019,201910,October 2019,6,1,1,Imports,152,Chile,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,173,,202551,,,0
HS,2019,201910,October 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4937,,6284457,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8741,,3955608,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1906,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,84,,102886,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,42049,,,0
HS,2019,201904,April 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,258,,267230,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,166,,222342,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,5236,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,56755,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2915,,811917,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,1142,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,145,,248591,,,0
HS,2019,201909,September 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3257,,1345981,,,0
HS,2019,201908,August 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,429,,291115,,,0
HS,2019,201908,August 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4500,,,0
HS,2019,201908,August 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1058,,341320,,,0
HS,2019,201906,June 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,318,,144447,,,0
HS,2019,201906,June 2019,6,1,1,Imports,152,Chile,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,32700,,,0
HS,2019,201906,June 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,10158,,,0
HS,2019,201907,July 2019,6,1,1,Imports,152,Chile,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,275000,,,0
HS,2019,201907,July 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,99039,,,0
HS,2019,201907,July 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,796,,1035528,,,0
HS,2019,201907,July 2019,6,1,1,Imports,152,Chile,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,52096,,,0
HS,2019,201907,July 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1816,,723651,,,0
HS,2019,201907,July 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2761,,2185314,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13367,,14882725,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1086,,713133,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4048,,3626058,,,0
HS,2019,201902,February 2019,6,1,1,Imports,152,Chile,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,106780,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,7778,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1510,,350889,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4257,,1807900,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,802,,71383,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1130,,6291709,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,647995,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,57944,,,0
HS,2019,201903,March 2019,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8164,,9235600,,,0
HS,2019,201911,November 2019,6,1,1,Imports,152,Chile,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5758,,5673419,,,0
HS,2019,201911,November 2019,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,279,,326135,,,0
HS,2019,201911,November 2019,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,184,,134826,,,0
HS,2019,201911,November 2019,6,1,1,Imports,152,Chile,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,931,,217482,,,0
