Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4,,,0
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,63831,,,0
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,343527,,,0
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2701468,,,0
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,162391,,,0
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,446,"China, Macao SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2129327,,,0
HS,2019,201908,August 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2387,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,183884,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,13417,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,34555,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,446,"China, Macao SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1392024,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1777003,,,0
HS,2019,201906,June 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,153117,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,407200,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5586885,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,61763,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6210,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,32372,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11442,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,674566,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16593,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17461612,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15738,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,274600,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17787,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,100888,,,0
HS,2019,201906,June 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,24667656,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11967089,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,63396,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3992765,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,187342,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,77093,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,40939,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1109797,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11060,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,940191,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19475,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3290942,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,61447,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1958624,,,0
HS,2019,201908,August 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,214018,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11087,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3159547,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1812131,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5300,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,142571,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,446,"China, Macao SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,965126,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,76482,,,0
HS,2019,201904,April 2019,6,1,2,Exports,344,"China, Hong Kong SAR",,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,146845,,,0
HS,2019,201903,March 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1431,,,0
HS,2019,201903,March 2019,6,1,1,Imports,344,"China, Hong Kong SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,88445,,,0
