Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201904,April 2019,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,19502,,,0
HS,2019,201904,April 2019,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1904,,1143898,,,0
HS,2019,201904,April 2019,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1884,,1124396,,,0
HS,2019,201906,June 2019,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3018,,2578211,,,0
HS,2019,201906,June 2019,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,753,,753847,,,0
HS,2019,201906,June 2019,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2240,,1774499,,,0
HS,2019,201903,March 2019,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,230,,359081,,,0
HS,2019,201903,March 2019,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,249,,502379,,,0
HS,2019,201906,June 2019,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,32572,,,0
HS,2019,201908,August 2019,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,8010,,,0
HS,2019,201907,July 2019,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,309,,196093,,,0
HS,2019,201907,July 2019,6,1,2,Exports,191,Croatia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,67541,,,0
HS,2019,201901,January 2019,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,49848,,,0
HS,2019,201901,January 2019,6,1,2,Exports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1250,,,0
HS,2019,201901,January 2019,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,234,,87192,,,0
