Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,6641,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,444,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,96537,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,735,,1934730,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,41084,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,35165,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,5485,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,4067,,,0
HS,2019,201906,June 2019,6,1,1,Imports,203,Czech Rep.,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,10446,,,0
HS,2019,201909,September 2019,6,1,1,Imports,203,Czech Rep.,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1063,,1424681,,,0
