Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,27814,,,0
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12159,,8492130,,,0
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,74721,,,0
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,239,,58129,,,0
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2303,,3489412,,,0
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1580,,701460,,,0
HS,2019,201910,October 2019,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16412,,12843666,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1963,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,494,,696122,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1062,,119439,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3156,,2202404,,,0
HS,2019,201905,May 2019,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,634,,389383,,,0
HS,2019,201905,May 2019,6,1,1,Imports,218,Ecuador,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6991,,1135027,,,0
HS,2019,201905,May 2019,6,1,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,341,,424337,,,0
HS,2019,201905,May 2019,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14352,,8214769,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5710,,3192622,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,798,,56305,,,0
HS,2019,201909,September 2019,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,199,,116389,,,0
HS,2019,201901,January 2019,6,1,1,Imports,218,Ecuador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,60707,,,0
HS,2019,201901,January 2019,6,1,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,604,,147290,,,0
HS,2019,201901,January 2019,6,1,1,Imports,218,Ecuador,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,44100,,,0
HS,2019,201903,March 2019,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,84326,,,0
HS,2019,201903,March 2019,6,1,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,51449,,,0
HS,2019,201907,July 2019,6,1,1,Imports,218,Ecuador,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8591,,1507183,,,0
HS,2019,201907,July 2019,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,72210,,,0
HS,2019,201907,July 2019,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12169,,3227505,,,0
HS,2019,201906,June 2019,6,1,1,Imports,218,Ecuador,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1928,,383785,,,0
HS,2019,201906,June 2019,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2258,,520499,,,0
HS,2019,201904,April 2019,6,1,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,103797,,,0
HS,2019,201904,April 2019,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4189,,2560356,,,0
HS,2019,201905,May 2019,6,1,1,Imports,218,Ecuador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,160,,43425,,,0
