Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,22282,,,0
HS,2019,201910,October 2019,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,75511,,,0
HS,2019,201910,October 2019,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,88421,,,0
HS,2019,201910,October 2019,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,245122,,,0
HS,2019,201910,October 2019,6,1,2,Exports,233,Estonia,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,4830,,,0
HS,2019,201910,October 2019,6,1,2,Exports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,4830,,,0
HS,2019,201910,October 2019,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,58909,,,0
HS,2019,201905,May 2019,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,93503,,,0
HS,2019,201905,May 2019,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,10854,,,0
HS,2019,201902,February 2019,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,23272,,,0
HS,2019,201902,February 2019,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,521,,365343,,,0
HS,2019,201902,February 2019,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,36262,,,0
HS,2019,201902,February 2019,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,43592,,,0
HS,2019,201902,February 2019,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,157,,125955,,,0
HS,2019,201902,February 2019,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,333,,136263,,,0
HS,2019,201901,January 2019,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,24368,,,0
HS,2019,201901,January 2019,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,38131,,,0
HS,2019,201909,September 2019,6,1,1,Imports,233,Estonia,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,626,,,0
HS,2019,201909,September 2019,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,302,,133103,,,0
