Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,3,Re-exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,11097,,,0
HS,2019,201901,January 2019,6,1,2,Exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,11097,,,0
HS,2019,201901,January 2019,6,1,3,Re-exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,11097,,,0
HS,2019,201901,January 2019,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,11097,,,0
HS,2019,201910,October 2019,6,1,3,Re-exports,268,Georgia,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,235,,306400,,,0
HS,2019,201902,February 2019,6,1,2,Exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2726,,,0
HS,2019,201902,February 2019,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,91,,,0
HS,2019,201902,February 2019,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8147,,1243476,,,0
HS,2019,201906,June 2019,6,1,1,Imports,268,Georgia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,12629,,,0
HS,2019,201906,June 2019,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1589,,216519,,,0
HS,2019,201902,February 2019,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,21795,,,0
HS,2019,201902,February 2019,6,1,1,Imports,268,Georgia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,9748,,,0
