Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4852,,250350,,,0
HS,2019,201901,January 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,868,,,0
HS,2019,201901,January 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3974,,53276,,,0
HS,2019,201901,January 2019,6,1,1,Imports,288,Ghana,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,159,,,0
HS,2019,201901,January 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,761,,180774,,,0
HS,2019,201901,January 2019,6,1,1,Imports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,15273,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11784,,491175,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,6864,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3514,,71594,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,156,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,3338,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8046,,406209,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,83,,291,,,0
HS,2019,201902,February 2019,6,1,1,Imports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,2725,,,0
HS,2019,201903,March 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8794,,112955,,,0
HS,2019,201903,March 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,208,,,0
HS,2019,201903,March 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8793,,112861,,,0
HS,2019,201903,March 2019,6,1,1,Imports,288,Ghana,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,94,,,0
HS,2019,201903,March 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,99,,,0
HS,2019,201903,March 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,109,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5379,,79018,,,0
HS,2019,201904,April 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,12660,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,6827,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1166,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,274,,8171,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3954,,26006,,,0
HS,2019,201904,April 2019,6,1,1,Imports,288,Ghana,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1002,,24188,,,0
HS,2019,201904,April 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10824,,531013,,,0
HS,2019,201905,May 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,85,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,193,,21803,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,328,,4528,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6843,,88339,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,470,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11414,,198245,,,0
HS,2019,201907,July 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,447,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,2348,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5566,,33895,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,101,,,0
HS,2019,201907,July 2019,6,1,2,Exports,288,Ghana,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,339,,284,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,5324,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1621,,7433,,,0
HS,2019,201907,July 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4154,,149144,,,0
HS,2019,201907,July 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,163,,,0
HS,2019,201908,August 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,737661,,,0
HS,2019,201908,August 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2718,,2167,,,0
HS,2019,201908,August 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1259,,12659,,,0
HS,2019,201908,August 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99146,,231341,,,0
HS,2019,201908,August 2019,6,1,1,Imports,288,Ghana,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5204,,493514,,,0
HS,2019,201908,August 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,99,,,0
HS,2019,201908,August 2019,6,1,1,Imports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,147,,,0
HS,2019,201908,August 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2574,,2068,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16732,,97385,,,0
HS,2019,201910,October 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,60,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,9107,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3495,,41199,,,0
HS,2019,201910,October 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,735,,6754,,,0
HS,2019,201910,October 2019,6,1,2,Exports,288,Ghana,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,10,,,0
HS,2019,201910,October 2019,6,1,2,Exports,288,Ghana,,694,Sierra Leone,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,5900,,,0
HS,2019,201910,October 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,634,,784,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,468,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,701,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,674,,,0
HS,2019,201910,October 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13125,,45236,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1800,,55274,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1563,,360563,,,0
HS,2019,201905,May 2019,6,1,1,Imports,288,Ghana,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,37,,,0
HS,2019,201905,May 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,75,,,0
HS,2019,201905,May 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,10,,,0
HS,2019,201906,June 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5680,,44630,,,0
HS,2019,201906,June 2019,6,1,1,Imports,288,Ghana,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,3815,,,0
HS,2019,201906,June 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6324,,27031,,,0
HS,2019,201906,June 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12027,,75477,,,0
HS,2019,201906,June 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,49,,,0
HS,2019,201906,June 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,22,,,0
HS,2019,201906,June 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,27,,,0
HS,2019,201909,September 2019,6,1,2,Exports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,861,,1056,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1152,,16537,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60311,,101298,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1188,,12461,,,0
HS,2019,201909,September 2019,6,1,2,Exports,288,Ghana,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,839,,996,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,112,,,0
HS,2019,201909,September 2019,6,1,2,Exports,288,Ghana,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,60,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2257,,10501,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,4459,,,0
HS,2019,201909,September 2019,6,1,1,Imports,288,Ghana,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65010,,145368,,,0
