Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201912,December 2019,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,134,,255934,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5336,,7505570,,,0
HS,2019,201905,May 2019,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,120599,,,0
HS,2019,201905,May 2019,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,120599,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3473,,6444155,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,82363,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,158,,205676,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,220,,344554,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,124,,54491,,,0
HS,2019,201905,May 2019,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,561,,374331,,,0
HS,2019,201909,September 2019,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13500,,6352489,,,0
HS,2019,201909,September 2019,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4308,,3625140,,,0
HS,2019,201909,September 2019,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,21494,,,0
HS,2019,201909,September 2019,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,329,,508023,,,0
HS,2019,201901,January 2019,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,6630,,,0
HS,2019,201901,January 2019,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3796,,1749686,,,0
HS,2019,201901,January 2019,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1141,,2234913,,,0
HS,2019,201904,April 2019,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,16067,,,0
HS,2019,201904,April 2019,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,16067,,,0
HS,2019,201904,April 2019,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,1333302,,,0
HS,2019,201904,April 2019,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8899,,5320883,,,0
HS,2019,201904,April 2019,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5725,,2988960,,,0
HS,2019,201904,April 2019,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,26679,,,0
HS,2019,201904,April 2019,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,213,,71672,,,0
HS,2019,201904,April 2019,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1433,,900270,,,0
HS,2019,201903,March 2019,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7650,,7223769,,,0
HS,2019,201903,March 2019,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,172,,380873,,,0
