Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,320,Guatemala,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,365,,131546,,,0
HS,2019,201901,January 2019,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,56513,,,0
HS,2019,201901,January 2019,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,906,,51450,,,0
HS,2019,201904,April 2019,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2951,,669651,,,0
HS,2019,201904,April 2019,6,1,1,Imports,320,Guatemala,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2916,,255678,,,0
HS,2019,201902,February 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,170,,52685,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,187,,66012,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1522,,231388,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3512,,797950,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,246,,150518,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1341,,205434,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1168,,494398,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,5157,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5107,,600455,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,83,,11105,,,0
HS,2019,201908,August 2019,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13222,,2562417,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12312,,6867287,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,1663,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,353,,128708,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22661,,2974167,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1022,,205672,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37864,,10367252,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,96,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8023,,3033444,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1217,,243073,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,268,,119974,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,419,,251756,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4366,,2138912,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1234,,131807,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,278,,83026,,,0
HS,2019,201909,September 2019,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,241,,64896,,,0
HS,2019,201910,October 2019,6,1,1,Imports,320,Guatemala,,408,Dem. People's Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,19800,,,0
HS,2019,201910,October 2019,6,1,1,Imports,320,Guatemala,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,214,,26010,,,0
HS,2019,201907,July 2019,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2039,,187024,,,0
HS,2019,201907,July 2019,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,2886,,,0
HS,2019,201907,July 2019,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12665,,5182674,,,0
HS,2019,201907,July 2019,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,31083,,,0
HS,2019,201907,July 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,510,,168213,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6290,,1403937,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3671,,836810,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,318,,91012,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1324,,389593,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,634,,30000,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,601,,,0
HS,2019,201903,March 2019,6,1,1,Imports,320,Guatemala,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,55921,,,0
HS,2019,201901,January 2019,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2606,,228734,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,27140,,,0
HS,2019,201901,January 2019,6,1,1,Imports,320,Guatemala,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,62,,21210,,,0
HS,2019,201905,May 2019,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1393,,162519,,,0
HS,2019,201904,April 2019,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,385,,103475,,,0
HS,2019,201904,April 2019,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1330,,539409,,,0
HS,2019,201904,April 2019,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,927,,135341,,,0
HS,2019,201901,January 2019,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1474,,99561,,,0
