Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201903,March 2019,6,1,1,Imports,348,Hungary,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1732,,262914,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3284,,4439205,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6548,,4162819,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,18941,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2988,,710501,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,705,Slovenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,15645,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,191,Croatia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,82261,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,508,,67680,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1092,,2488245,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14154,,1503962,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1797,,184814,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1397,,1982172,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,570,,650954,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2020,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,902,,145937,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,11430,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,237241,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,795,Turkmenistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,877,,187569,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,807,TFYR of Macedonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1037,,88956,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1586,,2851920,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,220271,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6207,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,60310,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3436,,1228223,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35453,,12986887,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,95,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,570,,,0
HS,2019,201910,October 2019,6,1,1,Imports,348,Hungary,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5087,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3334,,3934629,,,0
HS,2019,201910,October 2019,6,1,2,Exports,348,Hungary,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6075,,673265,,,0
HS,2019,201905,May 2019,6,1,2,Exports,348,Hungary,,705,Slovenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,172,,30582,,,0
HS,2019,201905,May 2019,6,1,2,Exports,348,Hungary,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,432,,685516,,,0
HS,2019,201906,June 2019,6,1,1,Imports,348,Hungary,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,384,,321637,,,0
