Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3097,,10539452,,,0
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,23055,,,0
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,24078,,,0
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2917,,4198954,,,0
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3927,,,0
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,8280,,,0
HS,2019,201912,December 2019,6,1,1,Imports,699,India,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30095,,73181202,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,434,Libya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,3937,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,140,Central African Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,135590,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,41777,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,531,Curaçao,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,2735,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,498,Rep. of Moldova,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,12164,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,13411,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,694,Sierra Leone,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,6999,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,299,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,91,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1087,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,25014,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,408,Dem. People's Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,30334,,,0
HS,2019,201909,September 2019,6,1,2,Exports,699,India,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,952,,,0
HS,2019,201909,September 2019,6,1,2,Exports,699,India,,430,Liberia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,115,,,0
HS,2019,201909,September 2019,6,1,2,Exports,699,India,,660,Anguilla,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1420,,,0
HS,2019,201909,September 2019,6,1,2,Exports,699,India,,686,Senegal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,548,,,0
HS,2019,201905,May 2019,6,1,1,Imports,699,India,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,135842,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,251868,,89433474,,,0
HS,2019,201905,May 2019,6,1,2,Exports,699,India,,524,Nepal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,794,,745753,,,0
HS,2019,201905,May 2019,6,1,2,Exports,699,India,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,166,,91662,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3533,,2958252,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,735,,5490163,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,9354,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,325,,416922,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,45817,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,384,Côte d'Ivoire,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3721,,1203760,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,15136,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,1455,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1265,,856676,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,508,Mozambique,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,155,,267351,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,161,,2486,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,454,Malawi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1602,,490771,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,646,Rwanda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,580,,199586,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,662,Saint Lucia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,3730,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6995,,8352818,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1221,,257392,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,558,Nicaragua,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1940,,557500,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,562,Niger,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,140846,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,466,Mali,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,945,,680155,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,950,,620611,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,548,,116708,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,4291,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,729,Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2289,,205391,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,762,Tajikistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2714,,459538,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,672,,105669,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,788,Tunisia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,73433,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,854,Burkina Faso,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6368,,1896023,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,858,Uruguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,7653,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,862,Venezuela,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1076,,627743,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,887,Yemen,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,240,,101304,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,599210,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,69673,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6262,,685219,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2611,,1435004,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,8,Albania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,182,,47803,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,12,Algeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14014,,3008895,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,506,,373201,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1400,,129736,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,46304,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,204,Benin,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,196,,113672,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2265,,873095,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,231,Ethiopia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,536,,1228635,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,696,,370907,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,5268,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,84,Belize,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,210,,12434,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,349070,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2169,,752493,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,120,Cameroon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,4176,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,180,Dem.Rep. of the Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10468,,3788831,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,908,,977455,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,328,Guyana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,6943,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,332,Haiti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,755,,116916,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,4473,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11650,,2019497,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,148,Chad,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1420,,264216,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,740,,202420,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,266,Gabon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,219513,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,268,Georgia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,4654,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,270,Gambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,119,,31985,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,15583,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,1535,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18181,,4194012,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24809,,12575509,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,355,,295813,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,942,,1447480,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,7392,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,634,Qatar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,36488,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1115,,5009894,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,78,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,613067,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3128,,2541825,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,42092,,,0
HS,2019,201911,November 2019,6,1,1,Imports,699,India,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,2273560,,,0
HS,2019,201911,November 2019,6,1,2,Exports,699,India,,288,Ghana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,975,,567651,,,0
