Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201907,July 2019,6,1,2,Exports,392,Japan,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,130293,,,0
HS,2019,201901,January 2019,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3904,,2127832,,,0
HS,2019,201904,April 2019,6,1,1,Imports,392,Japan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,16129,,,0
HS,2019,201904,April 2019,6,1,2,Exports,392,Japan,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,114710,,,0
HS,2019,201904,April 2019,6,1,1,Imports,392,Japan,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,4406,,,0
HS,2019,201904,April 2019,6,1,1,Imports,392,Japan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15279,,8384683,,,0
HS,2019,201904,April 2019,6,1,1,Imports,392,Japan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,87772,,,0
HS,2019,201906,June 2019,6,1,2,Exports,392,Japan,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,20898737,,,0
HS,2019,201906,June 2019,6,1,2,Exports,392,Japan,,762,Tajikistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,146,,56813,,,0
HS,2019,201906,June 2019,6,1,2,Exports,392,Japan,,512,Oman,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,11846,,,0
HS,2019,201906,June 2019,6,1,2,Exports,392,Japan,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,877,,340875,,,0
HS,2019,201906,June 2019,6,1,2,Exports,392,Japan,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156,,60996,,,0
HS,2019,201906,June 2019,6,1,1,Imports,392,Japan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19893,,11298559,,,0
HS,2019,201902,February 2019,6,1,2,Exports,392,Japan,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,5211,,,0
HS,2019,201905,May 2019,6,1,1,Imports,392,Japan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,497518,,,0
HS,2019,201905,May 2019,6,1,1,Imports,392,Japan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,238,,16787335,,,0
HS,2019,201905,May 2019,6,1,2,Exports,392,Japan,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,364,,112495,,,0
HS,2019,201905,May 2019,6,1,2,Exports,392,Japan,,226,Equatorial Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,10123,,,0
HS,2019,201905,May 2019,6,1,2,Exports,392,Japan,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,31442,,,0
HS,2019,201909,September 2019,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4316,,3388252,,,0
HS,2019,201909,September 2019,6,1,2,Exports,392,Japan,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6113,,,0
HS,2019,201909,September 2019,6,1,2,Exports,392,Japan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4314,,3382139,,,0
HS,2019,201903,March 2019,6,1,1,Imports,392,Japan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6762,,9369952,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8114,,4794633,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,124,,9257508,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,14895,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,197512,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3712,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,29307,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,40379,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4885,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,42035,,,0
HS,2019,201901,January 2019,6,1,1,Imports,392,Japan,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,20731,,,0
HS,2019,201901,January 2019,6,1,1,Imports,392,Japan,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3645,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8346,,14531001,,,0
HS,2019,201909,September 2019,6,1,1,Imports,392,Japan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4550,,,0
HS,2019,201906,June 2019,6,1,1,Imports,392,Japan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,952,,4852122,,,0
