Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201906,June 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,681,,172604,,,0
HS,2019,201906,June 2019,6,1,1,Imports,417,Kyrgyzstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,474,,76610,,,0
HS,2019,201906,June 2019,6,1,1,Imports,417,Kyrgyzstan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,207,,95994,,,0
HS,2019,201907,July 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4253,,610396,,,0
HS,2019,201907,July 2019,6,1,1,Imports,417,Kyrgyzstan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2102,,296125,,,0
HS,2019,201907,July 2019,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,6628,,,0
HS,2019,201907,July 2019,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2045,,307643,,,0
HS,2019,201903,March 2019,6,1,1,Imports,417,Kyrgyzstan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2133,,294442,,,0
HS,2019,201902,February 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2369,,1083035,,,0
HS,2019,201902,February 2019,6,1,1,Imports,417,Kyrgyzstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1280,,,0
HS,2019,201902,February 2019,6,1,1,Imports,417,Kyrgyzstan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2349,,1081755,,,0
HS,2019,201905,May 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4339,,392069,,,0
HS,2019,201905,May 2019,6,1,1,Imports,417,Kyrgyzstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4331,,385813,,,0
HS,2019,201905,May 2019,6,1,1,Imports,417,Kyrgyzstan,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,6256,,,0
HS,2019,201904,April 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,176,,51040,,,0
HS,2019,201904,April 2019,6,1,1,Imports,417,Kyrgyzstan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,176,,51040,,,0
HS,2019,201903,March 2019,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,12050,,,0
HS,2019,201903,March 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2139,,306492,,,0
HS,2019,201911,November 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,239,,84809,,,0
HS,2019,201911,November 2019,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,170,,41084,,,0
HS,2019,201911,November 2019,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,43725,,,0
HS,2019,201912,December 2019,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2213,,461756,,,0
HS,2019,201912,December 2019,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2213,,461756,,,0
