Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,428,Latvia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,51855,,,0
HS,2019,201910,October 2019,6,1,1,Imports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,129652,,,0
HS,2019,201910,October 2019,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,828,,390136,,,0
HS,2019,201910,October 2019,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,23266,,,0
HS,2019,201910,October 2019,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1756,,1278262,,,0
HS,2019,201910,October 2019,6,1,1,Imports,428,Latvia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,890,,683353,,,0
HS,2019,201903,March 2019,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,401,,238003,,,0
HS,2019,201903,March 2019,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,277,,285183,,,0
HS,2019,201906,June 2019,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,7057,,,0
HS,2019,201902,February 2019,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,688,,451764,,,0
HS,2019,201902,February 2019,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,57561,,,0
HS,2019,201902,February 2019,6,1,2,Exports,428,Latvia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,21454,,,0
HS,2019,201901,January 2019,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,932,,742180,,,0
HS,2019,201901,January 2019,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,65667,,,0
HS,2019,201901,January 2019,6,1,2,Exports,428,Latvia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,959,,,0
HS,2019,201901,January 2019,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,89980,,,0
HS,2019,201901,January 2019,6,1,2,Exports,428,Latvia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,28775,,,0
HS,2019,201901,January 2019,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,35932,,,0
