Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201910,October 2019,6,1,1,Imports,440,Lithuania,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,453,,233831,,,0
HS,2019,201908,August 2019,6,1,1,Imports,440,Lithuania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3987,,3803993,,,0
HS,2019,201905,May 2019,6,1,1,Imports,440,Lithuania,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2668,,,0
HS,2019,201905,May 2019,6,1,1,Imports,440,Lithuania,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,253,,36443,,,0
HS,2019,201906,June 2019,6,1,1,Imports,440,Lithuania,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,60154,,,0
HS,2019,201904,April 2019,6,1,1,Imports,440,Lithuania,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,151052,,,0
HS,2019,201904,April 2019,6,1,2,Exports,440,Lithuania,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,20087,,,0
HS,2019,201904,April 2019,6,1,1,Imports,440,Lithuania,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,146,,17347,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1278,,435554,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,769,,1039346,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,468,,347597,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,8999,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6235,,4130200,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1818,,781910,,,0
HS,2019,201909,September 2019,6,1,1,Imports,440,Lithuania,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1648,,,0
HS,2019,201911,November 2019,6,1,1,Imports,440,Lithuania,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3128,,,0
HS,2019,201911,November 2019,6,1,1,Imports,440,Lithuania,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,3156,,,0
HS,2019,201912,December 2019,6,1,1,Imports,440,Lithuania,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,248,,406918,,,0
HS,2019,201912,December 2019,6,1,1,Imports,440,Lithuania,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,6628,,,0
HS,2019,201912,December 2019,6,1,1,Imports,440,Lithuania,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,7073,,,0
HS,2019,201912,December 2019,6,1,1,Imports,440,Lithuania,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,672,,383905,,,0
HS,2019,201912,December 2019,6,1,2,Exports,440,Lithuania,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,29323,,,0
