Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201907,July 2019,6,1,4,Re-imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,257,,,0
HS,2019,201907,July 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,217,,803783,,,0
HS,2019,201911,November 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,199,,689811,,,0
HS,2019,201903,March 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,430849,,,0
HS,2019,201903,March 2019,6,1,2,Exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,30,,,0
HS,2019,201903,March 2019,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,30,,,0
HS,2019,201903,March 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,430849,,,0
HS,2019,201902,February 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24171,,727897,,,0
HS,2019,201902,February 2019,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,6837,,,0
HS,2019,201904,April 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,165,,923358,,,0
HS,2019,201906,June 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,412959,,,0
HS,2019,201906,June 2019,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4233,,,0
HS,2019,201908,August 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,560806,,,0
HS,2019,201908,August 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,560806,,,0
HS,2019,201906,June 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,417192,,,0
HS,2019,201904,April 2019,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,316,,,0
HS,2019,201904,April 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,923043,,,0
HS,2019,201912,December 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,512893,,,0
HS,2019,201912,December 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,512893,,,0
HS,2019,201907,July 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,217,,803783,,,0
HS,2019,201907,July 2019,6,1,4,Re-imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,257,,,0
HS,2019,201902,February 2019,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24176,,734734,,,0
HS,2019,201911,November 2019,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,199,,689811,,,0
