Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,450,Madagascar,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,15469,,,0
HS,2019,201901,January 2019,6,1,1,Imports,450,Madagascar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7195,,703100,,,0
HS,2019,201901,January 2019,6,1,1,Imports,450,Madagascar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,334,,129269,,,0
HS,2019,201901,January 2019,6,1,1,Imports,450,Madagascar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7579,,847838,,,0
HS,2019,201902,February 2019,6,1,1,Imports,450,Madagascar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14833,,2072499,,,0
HS,2019,201902,February 2019,6,1,1,Imports,450,Madagascar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,151,,23439,,,0
HS,2019,201902,February 2019,6,1,1,Imports,450,Madagascar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14984,,2095938,,,0
HS,2019,201903,March 2019,6,1,1,Imports,450,Madagascar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3582,,1168159,,,0
HS,2019,201903,March 2019,6,1,1,Imports,450,Madagascar,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1413,,560628,,,0
HS,2019,201903,March 2019,6,1,1,Imports,450,Madagascar,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,16516,,,0
HS,2019,201903,March 2019,6,1,1,Imports,450,Madagascar,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1245,,491961,,,0
HS,2019,201903,March 2019,6,1,1,Imports,450,Madagascar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,667,,64275,,,0
HS,2019,201903,March 2019,6,1,1,Imports,450,Madagascar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,223,,34780,,,0
