Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201908,August 2019,6,1,3,Re-exports,554,New Zealand,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2021,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,554,New Zealand,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1326,,,0
HS,2019,201908,August 2019,6,1,2,Exports,554,New Zealand,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1586,,,0
HS,2019,201908,August 2019,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,3347,,,0
HS,2019,201908,August 2019,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,129801,,,0
HS,2019,201908,August 2019,6,1,1,Imports,554,New Zealand,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2226,,,0
HS,2019,201908,August 2019,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30757,,,0
HS,2019,201908,August 2019,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,632592,,,0
HS,2019,201908,August 2019,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,795375,,,0
HS,2019,201908,August 2019,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,3623,,,0
