Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,12830,,,0
HS,2019,201901,January 2019,6,1,1,Imports,600,Paraguay,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2864,,582318,,,0
HS,2019,201901,January 2019,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2900,,627740,,,0
HS,2019,201903,March 2019,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,273,,183894,,,0
HS,2019,201903,March 2019,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,17611,,,0
HS,2019,201903,March 2019,6,1,1,Imports,600,Paraguay,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,81,,21680,,,0
HS,2019,201903,March 2019,6,1,1,Imports,600,Paraguay,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,102181,,,0
HS,2019,201903,March 2019,6,1,1,Imports,600,Paraguay,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,42148,,,0
HS,2019,201903,March 2019,6,1,1,Imports,600,Paraguay,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,274,,,0
HS,2019,201908,August 2019,6,1,1,Imports,600,Paraguay,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,452,,242530,,,0
HS,2019,201908,August 2019,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,917,,,0
HS,2019,201908,August 2019,6,1,1,Imports,600,Paraguay,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,183551,,,0
HS,2019,201908,August 2019,6,1,1,Imports,600,Paraguay,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2394,,2442987,,,0
