Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201903,March 2019,6,1,2,Exports,616,Poland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18041,,29335528,,,0
HS,2019,201903,March 2019,6,1,2,Exports,616,Poland,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,8798,,,0
HS,2019,201906,June 2019,6,1,2,Exports,616,Poland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,36461,,,0
HS,2019,201906,June 2019,6,1,2,Exports,616,Poland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,15740,,,0
HS,2019,201906,June 2019,6,1,2,Exports,616,Poland,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,7906,,,0
HS,2019,201906,June 2019,6,1,2,Exports,616,Poland,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,576,,3440828,,,0
HS,2019,201907,July 2019,6,1,1,Imports,616,Poland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,8377,,,0
HS,2019,201908,August 2019,6,1,2,Exports,616,Poland,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,995,,937272,,,0
HS,2019,201908,August 2019,6,1,2,Exports,616,Poland,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,19837,,,0
HS,2019,201908,August 2019,6,1,2,Exports,616,Poland,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2292,,1879167,,,0
HS,2019,201901,January 2019,6,1,1,Imports,616,Poland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,5807,,,0
HS,2019,201901,January 2019,6,1,1,Imports,616,Poland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,444463,,55471590,,,0
HS,2019,201901,January 2019,6,1,2,Exports,616,Poland,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15830,,296078,,,0
HS,2019,201911,November 2019,6,1,1,Imports,616,Poland,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1258,,358721,,,0
HS,2019,201911,November 2019,6,1,2,Exports,616,Poland,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,66488,,,0
HS,2019,201911,November 2019,6,1,2,Exports,616,Poland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,296,,,0
HS,2019,201911,November 2019,6,1,2,Exports,616,Poland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,49479,,,0
