Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201903,March 2019,6,1,1,Imports,620,Portugal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,399,,407754,,,0
HS,2019,201903,March 2019,6,1,1,Imports,620,Portugal,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,363,,857935,,,0
HS,2019,201903,March 2019,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,924,,806567,,,0
HS,2019,201903,March 2019,6,1,1,Imports,620,Portugal,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,33074,,,0
HS,2019,201908,August 2019,6,1,2,Exports,620,Portugal,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1154,,1045811,,,0
HS,2019,201908,August 2019,6,1,2,Exports,620,Portugal,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,362,,77550,,,0
HS,2019,201908,August 2019,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,187543,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,484,,420442,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,117,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1525,,999707,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,70,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,46178,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,136924,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,259,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,362,,,0
HS,2019,201905,May 2019,6,1,2,Exports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3230,,1715471,,,0
HS,2019,201905,May 2019,6,1,1,Imports,620,Portugal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4095,,2217645,,,0
HS,2019,201905,May 2019,6,1,1,Imports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8694,,6448199,,,0
HS,2019,201910,October 2019,6,1,2,Exports,620,Portugal,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,167,,29660,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,11102,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1013,,222786,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78,,42902,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,757,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1505,,2369473,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7134,,2794076,,,0
HS,2019,201910,October 2019,6,1,2,Exports,620,Portugal,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2009,,69638,,,0
HS,2019,201910,October 2019,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,53984,,,0
HS,2019,201909,September 2019,6,1,1,Imports,620,Portugal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1531,,2013544,,,0
HS,2019,201909,September 2019,6,1,1,Imports,620,Portugal,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,67598,,,0
HS,2019,201909,September 2019,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1139,,1228369,,,0
HS,2019,201902,February 2019,6,1,2,Exports,620,Portugal,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,111,,,0
HS,2019,201902,February 2019,6,1,2,Exports,620,Portugal,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,512,,,0
HS,2019,201902,February 2019,6,1,2,Exports,620,Portugal,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,180,,,0
HS,2019,201902,February 2019,6,1,2,Exports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,5217,,,0
HS,2019,201902,February 2019,6,1,2,Exports,620,Portugal,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,175,,,0
HS,2019,201902,February 2019,6,1,1,Imports,620,Portugal,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,131,,27297,,,0
HS,2019,201902,February 2019,6,1,1,Imports,620,Portugal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,574,,688022,,,0
HS,2019,201902,February 2019,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,165569,,,0
HS,2019,201902,February 2019,6,1,1,Imports,620,Portugal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1301,,1329215,,,0
