Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201904,April 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,625,,196259,,,0
HS,2019,201907,July 2019,6,1,1,Imports,498,Rep. of Moldova,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,600,,,0
HS,2019,201907,July 2019,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,45328,,,0
HS,2019,201906,June 2019,6,1,1,Imports,498,Rep. of Moldova,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,541,,329070,,,0
HS,2019,201907,July 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,204,,95647,,,0
HS,2019,201906,June 2019,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,928,,290961,,,0
HS,2019,201907,July 2019,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,23023,,,0
HS,2019,201907,July 2019,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,26696,,,0
HS,2019,201901,January 2019,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,18940,,,0
HS,2019,201905,May 2019,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,352,,47265,,,0
HS,2019,201901,January 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,18940,,,0
HS,2019,201909,September 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,487,,263609,,,0
HS,2019,201909,September 2019,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,62247,,,0
HS,2019,201909,September 2019,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,94,,11840,,,0
HS,2019,201909,September 2019,6,1,1,Imports,498,Rep. of Moldova,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,336,,189522,,,0
HS,2019,201905,May 2019,6,1,1,Imports,498,Rep. of Moldova,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2567,,,0
HS,2019,201905,May 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,163489,,,0
HS,2019,201905,May 2019,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,10928,,,0
HS,2019,201905,May 2019,6,1,1,Imports,498,Rep. of Moldova,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,169,,102729,,,0
HS,2019,201904,April 2019,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,163,,163367,,,0
HS,2019,201904,April 2019,6,1,1,Imports,498,Rep. of Moldova,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,462,,32892,,,0
HS,2019,201908,August 2019,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,890,,142321,,,0
HS,2019,201908,August 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,890,,142321,,,0
HS,2019,201906,June 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1469,,620031,,,0
HS,2019,201903,March 2019,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,21727,,,0
HS,2019,201903,March 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,21727,,,0
HS,2019,201902,February 2019,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,13085,,,0
HS,2019,201902,February 2019,6,1,1,Imports,498,Rep. of Moldova,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,166,,99910,,,0
HS,2019,201902,February 2019,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,4048,,,0
HS,2019,201902,February 2019,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,800,,,0
HS,2019,201902,February 2019,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,222,,117843,,,0
