Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201909,September 2019,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,27036,,,0
HS,2019,201909,September 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,69136,,,0
HS,2019,201905,May 2019,6,1,1,Imports,688,Serbia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,534,,,0
HS,2019,201905,May 2019,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,6543,,,0
HS,2019,201906,June 2019,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4010,,3397112,,,0
HS,2019,201909,September 2019,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,27036,,,0
HS,2019,201901,January 2019,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,41861,,,0
HS,2019,201906,June 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2474,,1668697,,,0
HS,2019,201906,June 2019,6,1,1,Imports,688,Serbia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,96,,192560,,,0
HS,2019,201906,June 2019,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1440,,1535855,,,0
HS,2019,201907,July 2019,6,1,1,Imports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2,,,0
HS,2019,201902,February 2019,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,24979,,,0
HS,2019,201902,February 2019,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,24979,,,0
HS,2019,201905,May 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,79419,,,0
HS,2019,201905,May 2019,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,3493,,,0
HS,2019,201905,May 2019,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,3050,,,0
HS,2019,201905,May 2019,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2355,,,0
HS,2019,201905,May 2019,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,82308,,,0
HS,2019,201902,February 2019,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1196,,228187,,,0
HS,2019,201902,February 2019,6,1,1,Imports,688,Serbia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,7074,,,0
HS,2019,201902,February 2019,6,1,1,Imports,688,Serbia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1153,,215057,,,0
HS,2019,201902,February 2019,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,6056,,,0
HS,2019,201903,March 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1493,,1040038,,,0
HS,2019,201903,March 2019,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,4610,,,0
HS,2019,201903,March 2019,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,21000,,,0
HS,2019,201907,July 2019,6,1,1,Imports,688,Serbia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,96,,,0
HS,2019,201907,July 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,11844,,,0
HS,2019,201907,July 2019,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,4532,,,0
HS,2019,201901,January 2019,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,41861,,,0
HS,2019,201904,April 2019,6,1,1,Imports,688,Serbia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,20,,,0
HS,2019,201908,August 2019,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1508,,,0
HS,2019,201908,August 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,5020,,,0
HS,2019,201908,August 2019,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1508,,,0
HS,2019,201908,August 2019,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,472,,254545,,,0
HS,2019,201908,August 2019,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3389,,,0
HS,2019,201908,August 2019,6,1,1,Imports,688,Serbia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,94800,,,0
HS,2019,201908,August 2019,6,1,1,Imports,688,Serbia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,401,,151336,,,0
HS,2019,201903,March 2019,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,25610,,,0
HS,2019,201907,July 2019,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,16474,,,0
HS,2019,201904,April 2019,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,40188,,,0
