Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201906,June 2019,6,1,1,Imports,703,Slovakia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,28911,,,0
HS,2019,201906,June 2019,6,1,1,Imports,703,Slovakia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,129,,134555,,,0
HS,2019,201906,June 2019,6,1,2,Exports,703,Slovakia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,36924,,,0
HS,2019,201906,June 2019,6,1,2,Exports,703,Slovakia,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,149,,161212,,,0
HS,2019,201906,June 2019,6,1,2,Exports,703,Slovakia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,262,,342795,,,0
HS,2019,201903,March 2019,6,1,1,Imports,703,Slovakia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,168,,216185,,,0
HS,2019,201903,March 2019,6,1,1,Imports,703,Slovakia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,921,,1399476,,,0
HS,2019,201903,March 2019,6,1,1,Imports,703,Slovakia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3881,,3243770,,,0
HS,2019,201902,February 2019,6,1,2,Exports,703,Slovakia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,98908,,,0
HS,2019,201902,February 2019,6,1,2,Exports,703,Slovakia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,133944,,,0
HS,2019,201902,February 2019,6,1,2,Exports,703,Slovakia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,336278,,,0
HS,2019,201901,January 2019,6,1,2,Exports,703,Slovakia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,182,,902340,,,0
HS,2019,201901,January 2019,6,1,1,Imports,703,Slovakia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2935,,3910538,,,0
HS,2019,201901,January 2019,6,1,1,Imports,703,Slovakia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,69976,,,0
HS,2019,201901,January 2019,6,1,1,Imports,703,Slovakia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,737591,,,0
HS,2019,201901,January 2019,6,1,2,Exports,703,Slovakia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,242485,,,0
HS,2019,201901,January 2019,6,1,2,Exports,703,Slovakia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,271711,,,0
HS,2019,201901,January 2019,6,1,2,Exports,703,Slovakia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,146004,,,0
HS,2019,201901,January 2019,6,1,1,Imports,703,Slovakia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,442,,214570,,,0
