Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201909,September 2019,6,1,1,Imports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,12918,,,0
HS,2019,201909,September 2019,6,1,1,Imports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,2416,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,606,,17611,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,420,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,4404,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,218,,2582,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,6424,,,0
HS,2019,201904,April 2019,6,1,1,Imports,710,South Africa,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5602,,1509508,,,0
HS,2019,201904,April 2019,6,1,1,Imports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,1308,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,158,,4158,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,426,Lesotho,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,76,,,0
HS,2019,201904,April 2019,6,1,2,Exports,710,South Africa,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,43548,,,0
HS,2019,201903,March 2019,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,246,,17607,,,0
HS,2019,201903,March 2019,6,1,2,Exports,710,South Africa,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,5683,,,0
HS,2019,201903,March 2019,6,1,2,Exports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,829,,452,,,0
HS,2019,201903,March 2019,6,1,2,Exports,710,South Africa,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,10204,,,0
HS,2019,201903,March 2019,6,1,2,Exports,710,South Africa,,426,Lesotho,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4418,,,0
HS,2019,201903,March 2019,6,1,2,Exports,710,South Africa,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,86,,,0
HS,2019,201906,June 2019,6,1,1,Imports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,5242,,,0
HS,2019,201906,June 2019,6,1,1,Imports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,749,,,0
HS,2019,201906,June 2019,6,1,1,Imports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,280082,,22707155,,,0
HS,2019,201906,June 2019,6,1,2,Exports,710,South Africa,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,17603,,,0
HS,2019,201906,June 2019,6,1,2,Exports,710,South Africa,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,505,,40636,,,0
HS,2019,201906,June 2019,6,1,2,Exports,710,South Africa,,180,Dem.Rep. of the Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,279,,10030,,,0
HS,2019,201906,June 2019,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,165,,9627,,,0
HS,2019,201906,June 2019,6,1,2,Exports,710,South Africa,,508,Mozambique,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,76,,,0
HS,2019,201906,June 2019,6,1,2,Exports,710,South Africa,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,3348,,,0
HS,2019,201908,August 2019,6,1,2,Exports,710,South Africa,,508,Mozambique,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,368,,,0
HS,2019,201908,August 2019,6,1,2,Exports,710,South Africa,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,13522,,,0
HS,2019,201909,September 2019,6,1,2,Exports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,6944,,,0
HS,2019,201909,September 2019,6,1,1,Imports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,331,,96307,,,0
HS,2019,201908,August 2019,6,1,2,Exports,710,South Africa,,120,Cameroon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,7807,,,0
HS,2019,201908,August 2019,6,1,2,Exports,710,South Africa,,414,Kuwait,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,6441,,,0
HS,2019,201908,August 2019,6,1,2,Exports,710,South Africa,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,4160,,,0
HS,2019,201908,August 2019,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1581,,95060,,,0
HS,2019,201908,August 2019,6,1,1,Imports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,257646,,11522769,,,0
HS,2019,201908,August 2019,6,1,1,Imports,710,South Africa,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6501,,3614502,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67415,,410607,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,4309,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,30,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,41,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,52,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,937,,,0
HS,2019,201905,May 2019,6,1,4,Re-imports,710,South Africa,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,52,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14025,,5638311,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,836,,74112,,,0
HS,2019,201905,May 2019,6,1,1,Imports,710,South Africa,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,638,,243814,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,13340,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,801,,492,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65670,,202065,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,12606,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162,,8760,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1011,,,0
HS,2019,201905,May 2019,6,1,2,Exports,710,South Africa,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,8017,,,0
HS,2019,201909,September 2019,6,1,2,Exports,710,South Africa,,226,Equatorial Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,17250,,,0
HS,2019,201909,September 2019,6,1,2,Exports,710,South Africa,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,120,,,0
HS,2019,201909,September 2019,6,1,1,Imports,710,South Africa,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3762,,2121835,,,0
HS,2019,201909,September 2019,6,1,2,Exports,710,South Africa,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,101,,,0
HS,2019,201901,January 2019,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4759,,105371,,,0
HS,2019,201901,January 2019,6,1,1,Imports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,150557,,18330538,,,0
HS,2019,201909,September 2019,6,1,2,Exports,710,South Africa,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2208,,38070,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,370,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,18376,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,609,,406,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,209,,9055,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,708,,156838,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,4006,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1465,,391204,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,1455,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,426,Lesotho,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,310,,1,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24145,,5072332,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4993,,178669,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,501,,68308,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,230,,19215,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1471,,355630,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3333,,899988,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,45,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,850,,12634,,,0
HS,2019,201902,February 2019,6,1,1,Imports,710,South Africa,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14903,,3137463,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,426,Lesotho,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,3134,,,0
HS,2019,201902,February 2019,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,653,,58486,,,0
