Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,6,1,2,Exports,724,Spain,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,22506,,,0
HS,2019,201909,September 2019,6,1,1,Imports,724,Spain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,796060,,26524434,,,0
HS,2019,201909,September 2019,6,1,1,Imports,724,Spain,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,461,,497830,,,0
HS,2019,201909,September 2019,6,1,1,Imports,724,Spain,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4509,,4962,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40368,,34700771,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5045,,1477620,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2410,,3613032,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,77084,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,301,,218013,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1622,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,14080,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,2974,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,15489,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,702,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,502,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,22549,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5567,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,147,,38259,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,324,,520803,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,356,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,43893,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,9295,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,8,Albania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,3365,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97,,1998814,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,551,,376101,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,387,,251911,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,20,Andorra,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,701,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,382,,189401,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,413,,400467,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1173,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,521,,1061608,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,922,,218046,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3884,,4709505,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,72180,,29523245,,,0
HS,2019,201907,July 2019,6,1,2,Exports,724,Spain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,7493,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3147,,13371389,,,0
HS,2019,201907,July 2019,6,1,1,Imports,724,Spain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13446,,6737023,,,0
